ZIP Code,Household Median Income,Household Mean Income,Family Median Income,Family Mean Income,Married-couple Family Median Income,Married-couple Family Mean Income,Nonfamily Household Median Income,Nonfamily Household Mean Income
90504,92636.0,113578.0,112662.0,133448.0,121835.0,,52072.0,59865.0
90505,95113.0,121535.0,111781.0,136801.0,126010.0,,61615.0,85427.0
90506,,,,,,,,
90601,76177.0,91451.0,91264.0,104716.0,105564.0,,38933.0,53998.0
90602,54752.0,74081.0,65020.0,80953.0,78981.0,,36329.0,51286.0
90603,104028.0,116594.0,117754.0,131939.0,125508.0,,42333.0,59231.0
90604,77898.0,92743.0,86271.0,102862.0,98645.0,,40303.0,51305.0
90605,77482.0,96911.0,82292.0,101967.0,94954.0,112404.0,47112.0,62275.0
90606,74717.0,87908.0,82809.0,94616.0,94085.0,,39926.0,49503.0
90620,99351.0,114335.0,106291.0,120073.0,117298.0,,54429.0,70660.0
90621,72000.0,88256.0,68190.0,88612.0,80822.0,,50521.0,60670.0
90623,107956.0,124517.0,124844.0,134952.0,132536.0,,41372.0,80166.0
90630,102263.0,122875.0,111577.0,135342.0,124485.0,,53571.0,63309.0
90631,86973.0,110897.0,90383.0,116193.0,104375.0,,58570.0,82809.0
90638,92508.0,108907.0,103688.0,120246.0,111004.0,127778.0,42703.0,56096.0
90640,62521.0,80311.0,66092.0,82806.0,75981.0,92526.0,31089.0,48121.0
90650,77425.0,91220.0,80070.0,93825.0,89139.0,104043.0,38938.0,57337.0
90660,70620.0,87484.0,76449.0,93568.0,86014.0,,27014.0,44939.0
90670,71318.0,86020.0,80795.0,94948.0,104605.0,,34405.0,52414.0
90680,69212.0,84374.0,76969.0,90354.0,85315.0,,40528.0,57217.0
90701,74523.0,88752.0,77269.0,91221.0,92449.0,,41146.0,63105.0
90703,108844.0,134381.0,116282.0,140732.0,125045.0,,62471.0,85674.0
90704,77868.0,96555.0,101576.0,107421.0,113597.0,,43125.0,46357.0
90706,63848.0,79884.0,69936.0,84945.0,82226.0,95481.0,39542.0,53787.0
90710,65119.0,85629.0,72260.0,91070.0,89217.0,,40045.0,66021.0
90712,102687.0,114755.0,112093.0,125867.0,123598.0,,52424.0,73896.0
90713,108311.0,119249.0,118343.0,125979.0,134923.0,,51107.0,68982.0
90715,74471.0,90908.0,82083.0,97663.0,95739.0,,43750.0,56331.0
90716,61525.0,66563.0,63157.0,66871.0,69620.0,,28646.0,40145.0
90717,75286.0,96142.0,100292.0,111942.0,116998.0,,42679.0,65609.0
90720,109847.0,143690.0,128568.0,161221.0,154970.0,,62564.0,82721.0
90723,57313.0,71819.0,58299.0,74624.0,69517.0,,38994.0,44332.0
90731,56881.0,84783.0,68178.0,97098.0,93462.0,117417.0,40481.0,62927.0
90732,101738.0,119874.0,125332.0,141038.0,139737.0,,53188.0,75887.0
90740,72226.0,111622.0,113385.0,157998.0,124070.0,,45170.0,69523.0
90742,81528.0,144773.0,100156.0,174755.0,166250.0,,74091.0,120697.0
90743,142000.0,110218.0,155250.0,138762.0,149792.0,,,60911.0
