Pop_ID,ZIP Code,Household Median Income,Household Mean Income,Family Median Income,Family Mean Income,Married-couple Family Median Income,Married-couple Family Mean Income,Nonfamily Household Median Income,Nonfamily Household Mean Income,Land Area sq miles,Water Area sq miles,Latitude,Longitude,Per Capita Income,Poverty Count,Poverty Rate,Insurance coverage status,Coverage Rate,Count Of Licensees
83,90247,61234.0,75699.0,72466.0,83392.0,80814.0,92778.0,36279.0,51785.0,3.756,0.004,33.891769,-118.297006,30673.0,5675.0,11.901765865525777,47165.0,98.9157334004446,6.0
84,90248,63620.0,89363.0,73514.0,97191.0,94059.0,,40000.0,58989.0,4.753,0.066,33.8783395,-118.2841003,37921.0,1151.0,10.049768619575657,11403.0,99.56343316161704,5.0
85,90249,65397.0,82585.0,78735.0,93438.0,89623.0,,38930.0,53215.0,2.972,0.034,33.90139,-118.3156967,34917.0,2322.0,8.955223880597014,25773.0,99.39835705194956,3.0
86,90250,60162.0,79570.0,66055.0,85886.0,85380.0,102369.0,42858.0,58911.0,6.768,0.006,33.9136508,-118.350946,34278.0,13923.0,14.472972972972974,95774.0,99.55717255717256,7.0
87,90254,142500.0,209447.0,199276.0,264207.0,207091.0,,103802.0,151476.0,1.429,0.599,33.8642586,-118.3993032,106731.0,1127.0,5.764411027568922,19428.0,99.37087617001688,5.0
88,90255,49366.0,62285.0,50179.0,62621.0,62493.0,73437.0,20502.0,36075.0,3.726,0.003,33.9792475,-118.217438,19694.0,12414.0,17.324922544449716,71526.0,99.8213637759232,4.0
89,90260,70389.0,84420.0,73552.0,88121.0,87744.0,,45380.0,61714.0,2.47,0.015,33.8885344,-118.3495638,30461.0,3007.0,9.03491376720149,33209.0,99.78066221981852,1.0
90,90262,57236.0,71059.0,57232.0,71048.0,63427.0,,27214.0,41923.0,4.772,0.0,33.9238313,-118.2013519,20300.0,10271.0,15.544927580100795,64011.0,96.87920935934496,10.0
91,90263,,,,,,,,,0.234,0.0,34.0392805,-118.7081459,8083.0,0.0,0.0,1803.0,100.0,
92,90265,163909.0,265442.0,198857.0,301329.0,216797.0,,94583.0,180373.0,111.01,7.297,34.0702448,-118.8510422,110323.0,1286.0,7.722796060533269,16480.0,98.9670910401153,10.0
93,90266,153926.0,243789.0,195510.0,289444.0,206484.0,,92562.0,137712.0,4.048,1.103,33.8917865,-118.4028145,108762.0,1117.0,3.180252256356234,35072.0,99.85479600261937,27.0
94,90270,50996.0,60374.0,52397.0,61801.0,59075.0,,27474.0,37941.0,1.189,0.0,33.9885572,-118.187688,19268.0,4967.0,19.90781563126253,24806.0,99.42284569138276,1.0
95,90272,199598.0,345660.0,,443347.0,,,91483.0,133209.0,23.811,0.55,34.0925672,-118.5343628,147351.0,933.0,4.380693022819044,21298.0,100.0,16.0
96,90274,181776.0,257930.0,204808.0,288331.0,219821.0,,82269.0,120802.0,11.973,1.006,33.7801,-118.3724118,118474.0,821.0,3.29163659690482,24942.0,100.0,23.0
97,90275,145816.0,194050.0,164296.0,214370.0,177104.0,,66763.0,116146.0,13.532,3.235,33.7531341,-118.3679729,81354.0,1683.0,4.012779857418755,41852.0,99.7877971436065,9.0
98,90277,104859.0,152626.0,146466.0,191027.0,164969.0,,80101.0,107186.0,3.57,1.366,33.8300058,-118.3871239,78742.0,2023.0,5.567021657172735,35979.0,99.00932882027574,5.0
99,90278,126979.0,158019.0,150503.0,180405.0,169460.0,,82914.0,107656.0,3.671,0.0,33.8736054,-118.3702644,69014.0,2043.0,4.802990408124883,42509.0,99.93652435583977,7.0
100,90280,55084.0,68853.0,55681.0,69298.0,64447.0,78702.0,32362.0,43984.0,7.38,0.165,33.9441585,-118.1927614,22949.0,12551.0,13.603650473651124,92113.0,99.83850339251262,5.0
101,90290,129000.0,175506.0,149036.0,196293.0,174135.0,,95750.0,121043.0,18.725,0.009,34.1077521,-118.6162183,81722.0,289.0,5.452830188679245,5300.0,100.0,0.0
102,90291,99496.0,166091.0,159500.0,229406.0,186114.0,,81638.0,127833.0,2.465,0.336,33.9933964,-118.4651932,100282.0,2506.0,9.767695665731212,25641.0,99.94153414405989,3.0
103,90292,121021.0,162869.0,155417.0,197684.0,178247.0,,108476.0,139700.0,2.096,1.103,33.9760775,-118.4520658,102170.0,1790.0,7.311792818920796,24481.0,100.0,3.0
104,90293,104814.0,149151.0,131042.0,192441.0,151638.0,,91086.0,119805.0,2.74,1.544,33.9473054,-118.4398414,90690.0,860.0,6.595597821918859,12934.0,99.19472352174246,1.0
105,90301,51498.0,66084.0,59766.0,74080.0,77948.0,82499.0,29104.0,46288.0,2.481,0.0,33.9564643,-118.3586812,27105.0,6854.0,18.35515920837685,37085.0,99.31442650170054,2.0
106,90302,54432.0,70572.0,60476.0,74237.0,79048.0,,40929.0,56295.0,1.913,0.001,33.97535,-118.3560895,31205.0,4216.0,14.385641655577166,29151.0,99.4677039615109,0.0
107,90303,62826.0,79535.0,64382.0,84092.0,70377.0,,35023.0,53614.0,1.941,0.006,33.9362911,-118.3326393,27807.0,3375.0,14.441591784338897,23370.0,100.0,0.0
108,90304,47612.0,61734.0,50506.0,63617.0,59502.0,,27003.0,44930.0,1.64,0.0,33.9373602,-118.3587951,22032.0,4618.0,17.951409135082603,25685.0,99.84450923226431,0.0
109,90305,88910.0,105892.0,99679.0,115142.0,125663.0,,59023.0,82716.0,2.614,0.023,33.9581341,-118.3309045,44376.0,1473.0,10.03474351113836,14566.0,99.23019279242456,1.0
110,90401,95217.0,133030.0,105579.0,150640.0,119879.0,,85114.0,127932.0,0.755,0.0,34.0160989,-118.4924539,96185.0,1445.0,19.318181818181817,7428.0,99.3048128342246,6.0
111,90402,145742.0,314743.0,213641.0,414490.0,240764.0,,73500.0,123889.0,2.042,0.126,34.034666,-118.5040391,138786.0,818.0,6.922816519972918,11816.0,100.0,6.0
112,90403,111611.0,155708.0,146384.0,206353.0,170420.0,,82757.0,116587.0,1.412,0.095,34.0307553,-118.4921007,94822.0,2417.0,10.03237589241242,24028.0,99.73435165200068,7.0
113,90404,75610.0,111833.0,85625.0,135562.0,129196.0,,62679.0,91955.0,1.971,0.0,34.0266494,-118.473835,58058.0,3249.0,13.551616266944734,23236.0,96.91762252346194,15.0
114,90405,96352.0,136441.0,131069.0,183976.0,165962.0,,81468.0,103005.0,2.781,0.345,34.011057,-118.4721524,82231.0,2828.0,10.48144990919536,26864.0,99.56636151365775,1.0
115,90501,75388.0,102061.0,83213.0,104814.0,103146.0,,57038.0,89966.0,5.685,0.003,33.8337437,-118.3140219,42873.0,4850.0,11.402106451006206,42434.0,99.76020312206133,3.0
116,90502,85515.0,103098.0,95972.0,113278.0,106528.0,,53750.0,74923.0,2.239,0.013,33.8331813,-118.2920619,42433.0,1782.0,9.669017905588714,17653.0,95.78404774823656,18.0
117,90503,97688.0,120575.0,119640.0,134666.0,134805.0,,58652.0,86196.0,5.267,0.002,33.8394633,-118.3536989,55732.0,2525.0,5.702348690153568,43589.0,98.43947606142729,28.0
118,90504,92636.0,113578.0,112662.0,133448.0,121835.0,,52072.0,59865.0,4.41,0.017,33.8672804,-118.3316422,46288.0,2910.0,8.827544365235855,32927.0,99.88472622478386,5.0
119,90505,95113.0,121535.0,111781.0,136801.0,126010.0,,61615.0,85427.0,5.852,0.011,33.8078823,-118.3479566,56167.0,2194.0,6.058430441265809,35996.0,99.39802286408572,22.0
120,90506,,,,,,,,,0.156,0.006,33.8846956,-118.329998,-666666666.0,0.0,,0.0,,
121,90601,76177.0,91451.0,91264.0,104716.0,105564.0,,38933.0,53998.0,10.602,0.142,34.0079366,-118.0303243,41017.0,2790.0,9.097727198617406,30648.0,99.938044151694,1.0
122,90602,54752.0,74081.0,65020.0,80953.0,78981.0,,36329.0,51286.0,3.752,0.002,33.9742425,-118.0223302,28561.0,3157.0,12.166172106824924,25742.0,99.2022813981271,11.0
123,90603,104028.0,116594.0,117754.0,131939.0,125508.0,,42333.0,59231.0,3.163,0.0,33.9448663,-117.9923377,45903.0,828.0,3.964947565005028,20688.0,99.06622611693722,2.0
124,90604,77898.0,92743.0,86271.0,102862.0,98645.0,,40303.0,51305.0,4.209,0.004,33.9276906,-118.0138277,34456.0,2301.0,5.782133433848474,39743.0,99.86933031787912,2.0
125,90605,77482.0,96911.0,82292.0,101967.0,94954.0,112404.0,47112.0,62275.0,6.386,0.01,33.9524438,-118.0213998,31871.0,3532.0,8.525840635334443,41406.0,99.9493084220436,2.0
126,90606,74717.0,87908.0,82809.0,94616.0,94085.0,,39926.0,49503.0,3.794,0.16,33.977272,-118.0663633,28991.0,3769.0,11.883217202131348,31520.0,99.37888198757764,0.0
127,90620,99351.0,114335.0,106291.0,120073.0,117298.0,,54429.0,70660.0,6.368,0.009,33.8452232,-118.0152918,40220.0,3183.0,6.766293950087156,46799.0,99.48344032991794,2.0
128,90621,72000.0,88256.0,68190.0,88612.0,80822.0,,50521.0,60670.0,4.192,0.016,33.8742236,-117.9933677,35170.0,4050.0,11.203009598627975,36118.0,99.90871621808526,0.0
129,90623,107956.0,124517.0,124844.0,134952.0,132536.0,,41372.0,80166.0,1.814,0.023,33.8506159,-118.0395647,49588.0,930.0,6.031519553797264,15414.0,99.96757247551722,8.0
130,90630,102263.0,122875.0,111577.0,135342.0,124485.0,,53571.0,63309.0,6.15,0.021,33.8184768,-118.0383074,46978.0,3597.0,7.169623280845126,50079.0,99.81861670320907,4.0
131,90631,86973.0,110897.0,90383.0,116193.0,104375.0,,58570.0,82809.0,13.975,0.008,33.9427081,-117.9524832,41968.0,6377.0,9.233464612533302,68776.0,99.58299548245104,8.0
132,90638,92508.0,108907.0,103688.0,120246.0,111004.0,127778.0,42703.0,56096.0,7.75,0.017,33.9020453,-118.0089608,40876.0,2775.0,6.010396361273554,45867.0,99.34372969460688,7.0
133,90640,62521.0,80311.0,66092.0,82806.0,75981.0,92526.0,31089.0,48121.0,8.323,0.018,34.0154437,-118.1110124,30587.0,7997.0,12.837512441005554,61859.0,99.30169839791954,8.0
134,90650,77425.0,91220.0,80070.0,93825.0,89139.0,104043.0,38938.0,57337.0,9.902,0.038,33.9077898,-118.0824874,29519.0,9117.0,8.9397252483257,100749.0,98.78999441083316,1.0
135,90660,70620.0,87484.0,76449.0,93568.0,86014.0,,27014.0,44939.0,7.751,0.438,33.9895238,-118.0892952,29153.0,5813.0,9.4426666233492,61133.0,99.30475463361545,4.0
136,90670,71318.0,86020.0,80795.0,94948.0,104605.0,,34405.0,52414.0,8.318,0.039,33.9335648,-118.0626113,31827.0,1743.0,9.92822966507177,17506.0,99.71519708361814,0.0
137,90680,69212.0,84374.0,76969.0,90354.0,85315.0,,40528.0,57217.0,2.552,0.0,33.8011398,-117.9953266,35738.0,3966.0,12.751591537521705,30917.0,99.40518294643432,0.0
138,90701,74523.0,88752.0,77269.0,91221.0,92449.0,,41146.0,63105.0,1.628,0.0,33.8676054,-118.0806306,29781.0,1156.0,7.119541787275975,15802.0,97.32093367001292,2.0
139,90703,108844.0,134381.0,116282.0,140732.0,125045.0,,62471.0,85674.0,8.748,0.131,33.867745,-118.069471,51059.0,2545.0,5.158714071431467,49211.0,99.75067904487776,20.0
