Zipcode,Population,Per Capita Income,Poverty Count,Poverty Rate,Insurance coverage status,Coverage Rate
90602,25949.0,28561.0,3157.0,12.166172106824925,25742.0,99.2022813981271
90603,20883.0,45903.0,828.0,3.964947565005028,20688.0,99.06622611693722
90604,39795.0,34456.0,2301.0,5.782133433848474,39743.0,99.86933031787913
90605,41427.0,31871.0,3532.0,8.525840635334443,41406.0,99.9493084220436
90606,31717.0,28991.0,3769.0,11.883217202131348,31520.0,99.37888198757764
90620,47042.0,40220.0,3183.0,6.766293950087156,46799.0,99.48344032991794
90621,36151.0,35170.0,4050.0,11.203009598627977,36118.0,99.90871621808526
90623,15419.0,49588.0,930.0,6.0315195537972635,15414.0,99.96757247551722
90630,50170.0,46978.0,3597.0,7.169623280845126,50079.0,99.81861670320909
90631,69064.0,41968.0,6377.0,9.233464612533302,68776.0,99.58299548245105
90638,46170.0,40876.0,2775.0,6.010396361273554,45867.0,99.34372969460689
90640,62294.0,30587.0,7997.0,12.837512441005554,61859.0,99.30169839791954
90650,101983.0,29519.0,9117.0,8.9397252483257,100749.0,98.78999441083317
90660,61561.0,29153.0,5813.0,9.442666623349199,61133.0,99.30475463361545
90670,17556.0,31827.0,1743.0,9.92822966507177,17506.0,99.71519708361814
90680,31102.0,35738.0,3966.0,12.751591537521703,30917.0,99.40518294643431
90701,16237.0,29781.0,1156.0,7.119541787275975,15802.0,97.32093367001293
90703,49334.0,51059.0,2545.0,5.158714071431467,49211.0,99.75067904487777
90704,3822.0,42672.0,375.0,9.811616954474097,3805.0,99.55520669806384
90706,78352.0,28918.0,11011.0,14.053246885848479,77969.0,99.51118031447825
90710,27517.0,36393.0,3543.0,12.875676854308246,27488.0,99.89461060435367
90712,31552.0,45712.0,1403.0,4.446627789046653,31512.0,99.87322515212982
90713,28439.0,47569.0,1519.0,5.3412567249200045,28423.0,99.94373923133725
90715,20949.0,33357.0,1809.0,8.635257052842618,20940.0,99.95703852212516
90716,13941.0,23594.0,2015.0,14.453769456997346,13941.0,100.0
90717,21788.0,46343.0,2732.0,12.539012300348816,21657.0,99.39875160638884
90720,23673.0,65958.0,1474.0,6.226502766865205,23452.0,99.06644700713893
90723,53286.0,23280.0,7038.0,13.207972075216755,52931.0,99.3337837330631
90731,63431.0,36599.0,9475.0,14.937491132096294,62021.0,97.77711213759834
90732,22078.0,58748.0,1577.0,7.142857142857143,21544.0,97.58130265422592
90740,24604.0,65967.0,1528.0,6.210372297187449,24307.0,98.79287920663307
90742,469.0,107303.0,0.0,0.0,469.0,100.0
90743,434.0,59699.0,23.0,5.299539170506913,434.0,100.0
90744,54277.0,22918.0,10691.0,19.69710927280432,54269.0,99.98526079186395
90745,58735.0,34740.0,5495.0,9.355580148122925,58575.0,99.72759002298459
90746,27643.0,41396.0,2287.0,8.273342256629165,27626.0,99.9385016098108
90747,25.0,,0.0,0.0,25.0,100.0
90755,11764.0,46708.0,1109.0,9.427065623937436,11673.0,99.22645358721523
90802,40012.0,50083.0,6482.0,16.200139958012596,39528.0,98.79036289113266
90803,31659.0,77544.0,2050.0,6.475251903092327,31544.0,99.63675416153384
90804,37299.0,33267.0,7130.0,19.11579398911499,36834.0,98.7533177833186
90805,96515.0,24800.0,18063.0,18.715225612599077,96102.0,99.57208724032533
90806,40688.0,30604.0,7027.0,17.270448289421942,40277.0,98.9898741643728
90807,33153.0,48591.0,2591.0,7.815280668416131,32763.0,98.823635870057
90808,39698.0,55629.0,2162.0,5.44611819235226,39636.0,99.84382084739785
90810,36306.0,26717.0,5019.0,13.82416129565361,36286.0,99.94491268660828
90813,53647.0,21170.0,13614.0,25.377001509870077,53378.0,99.49857401159431
90814,20723.0,54391.0,2406.0,11.610288085701876,20555.0,99.18930656758191
90815,42759.0,51942.0,2941.0,6.878084146027737,42410.0,99.18379756308613
90822,125.0,12570.0,8.0,6.4,8.0,6.4
90831,0.0,-666666666.0,0.0,,0.0,
91001,36420.0,63267.0,2576.0,7.073036792970895,36326.0,99.74190005491488
