ZIP Code,Population Under 18 years,Total Population,Percent Population Under 18 years,Female Population Under 18 years,Male Population Under 18 years,Population Density per sq mile
90822,0,125,0.0,0,0,820.9876543209876
90831,0,0,,0,0,0.0
90840,0,0,,0,0,
91001,7394,36420,20.3,3863,3531,4442.73607748184
91006,6789,31986,21.2,3610,3179,5058.475894245724
91007,6498,33367,19.5,3447,3051,6144.777475022706
91008,90,744,12.1,46,44,560.5194805194805
91010,4747,26825,17.7,1973,2774,4123.153475353755
91011,5674,20389,27.8,2982,2692,1791.4927626320932
91016,9276,41822,22.2,4261,5015,4904.694503420618
91020,1843,7509,24.5,987,856,12235.376044568246
91024,2033,11151,18.2,1000,1033,3098.4263233190272
91030,6136,26583,23.1,2804,3332,7423.659673659674
91040,3853,20911,18.4,1771,2082,2476.6826923076924
91042,4455,27119,16.4,2355,2100,534.4993774850395
91046,0,141,0.0,0,0,38200.0
91101,2037,19737,10.3,966,1071,17259.84251968504
91103,5747,27167,21.2,2683,3064,5848.115057746785
91104,7013,35918,19.5,3242,3771,10019.62344205781
91105,1977,12692,15.6,890,1087,3014.2993326978076
91106,3751,23813,15.8,1935,1816,9276.775855723225
91107,5984,32581,18.4,2973,3011,3958.5008276188223
91108,2894,12559,23.0,1318,1576,3477.170757455793
91125,3,996,0.3,0,3,
91201,4162,22163,18.8,2308,1854,9561.89676877885
91202,3634,22831,15.9,1846,1788,4754.927860191018
91203,2735,16679,16.4,1225,1510,17988.610478359908
91204,3127,18445,17.0,1595,1532,18151.340996168583
91205,6245,35755,17.5,3419,2826,19814.775725593667
91206,5259,32294,16.3,2535,2724,5860.687022900763
91207,2130,11091,19.2,972,1158,7113.764927718416
91208,2828,15377,18.4,1641,1187,2049.2490867271003
91210,35,310,11.3,0,35,3705.2631578947367
91214,8071,32344,25.0,3734,4337,4351.195383347073
91301,5923,25244,23.5,2752,3171,785.7293837002145
91302,5706,26318,21.7,2928,2778,982.1857923497269
91303,6392,30611,20.9,3111,3281,14668.557919621748
91304,11244,54369,20.7,5613,5631,5516.507250848503
91306,10778,49460,21.8,5031,5747,12101.7316017316
91307,5395,25368,21.3,2912,2483,3168.7960687960685
91311,7921,40196,19.7,3937,3984,1249.4695633983802
91316,5371,28497,18.8,3033,2338,5573.025471870991
91320,10299,44138,23.3,5044,5255,2213.8679619349723
91321,8885,34305,25.9,5204,3681,1288.0720180045012
91324,5744,29744,19.3,2506,3238,7279.2390793799905
91325,6264,35537,17.6,3386,2878,7192.068106312293
91326,7655,36503,21.0,3721,3934,4460.0
91330,30,2699,1.1,19,11,6284.5691382765535
91331,24450,99804,24.5,11844,12606,11095.024077046548
91335,16435,77158,21.3,8066,8369,12326.682911970758
91340,8081,34822,23.2,3949,4132,10848.440687846109
91342,20896,92580,22.6,9523,11373,2077.94036747717
91343,15378,63193,24.3,7549,7829,11032.247172041196
91344,10828,53862,20.1,5138,5690,3851.057944959204
91345,3278,18481,17.7,1719,1559,5803.020961775585
