ZIP Code,Population Under 18 years (Selected),Total Population,Population Under 5 years,Population 5 to 9 years,Population 10 to 14 years,Population 15 to 19 years,Percent Population Under 5 years,Percent Population 5 to 9 years,Percent Population 10 to 14 years,Percent Population Under 18 years (Selected),Male Population Under 5 years,Male Population 5 to 9 years,Male Population 10 to 14 years,Female Population Under 5 years,Female Population 5 to 9 years,Female Population 10 to 14 years,Female Population Under 18 years (Selected)
92359,2414,9758,625,949,489,488,6.4,9.7,5.0,24.7,429,530,241,196,419,248,997
92363,1127,5447,215,292,393,341,3.9,5.4,7.2,20.7,122,115,171,93,177,222,583
92364,0,12,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92365,469,2393,164,76,82,251,6.9,3.2,3.4,19.6,72,50,75,92,26,7,162
92368,276,1018,58,70,103,72,5.7,6.9,10.1,27.1,33,30,48,25,40,55,156
92369,34,3999,34,0,0,0,0.9,0.0,0.0,0.9,34,0,0,0,0,0,0
92371,6472,21265,1759,2251,1266,1802,8.3,10.6,6.0,30.4,825,942,583,934,1309,683,3542
92372,1378,5208,527,366,400,93,10.1,7.0,7.7,26.5,315,94,213,212,272,187,756
92373,7473,33946,1860,2355,2078,1745,5.5,6.9,6.1,22.0,1018,1225,893,842,1130,1185,3740
92374,10488,44976,2969,2764,3055,3730,6.6,6.1,6.8,23.3,1484,1608,1537,1485,1156,1518,4848
92376,23625,85727,5353,6423,7520,7563,6.2,7.5,8.8,27.6,2406,3201,3977,2947,3222,3543,11829
92377,5336,20935,1232,1645,1234,1654,5.9,7.9,5.9,25.5,719,865,563,513,780,671,2666
92378,110,437,0,42,45,48,0.0,9.6,10.3,25.2,0,28,17,0,14,28,65
92382,1277,4884,461,335,268,273,9.4,6.9,5.5,26.1,192,191,141,269,144,127,611
92384,0,23,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92385,0,167,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92386,426,2064,322,34,44,26,15.6,1.6,2.1,20.6,71,17,21,251,17,23,317
92389,0,187,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
92391,411,2177,104,184,108,32,4.8,8.5,5.0,18.9,90,81,28,14,103,80,197
92392,18638,61859,4524,5111,5880,4979,7.3,8.3,9.5,30.1,2151,2777,2930,2373,2334,2950,9303
92394,11843,39939,3402,2862,3920,3233,8.5,7.2,9.8,29.7,1885,1520,1904,1517,1342,2016,5689
92395,14226,48479,2834,3972,5331,3434,5.8,8.2,11.0,29.3,1392,1936,2928,1442,2036,2403,6739
92397,908,5059,285,240,359,47,5.6,4.7,7.1,17.9,191,96,237,94,144,122,384
92398,166,1394,21,45,69,31,1.5,3.2,4.9,11.9,21,10,44,0,35,25,60
92399,13997,55236,3773,4020,3778,3809,6.8,7.3,6.8,25.3,1807,1498,1883,1966,2522,1895,7389
92401,546,2060,114,200,173,116,5.5,9.7,8.4,26.5,71,104,81,43,96,92,275
92404,18370,64090,4950,4469,5491,5377,7.7,7.0,8.6,28.7,2267,2491,2847,2683,1978,2644,8728
92405,10154,31550,2371,3083,3318,2133,7.5,9.8,10.5,32.2,1242,1386,1912,1129,1697,1406,4877
92407,18872,67207,5303,5147,5111,5397,7.9,7.7,7.6,28.1,2362,2662,2371,2941,2485,2740,9904
92408,3016,12478,830,928,735,837,6.7,7.4,5.9,24.2,385,521,330,445,407,405,1553
92410,14139,48398,2957,4211,4682,3926,6.1,8.7,9.7,29.2,1750,1876,2498,1207,2335,2184,6834
92411,8019,26915,1686,2263,2395,2997,6.3,8.4,8.9,29.8,755,1317,1146,931,946,1249,4026
92415,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92501,5060,22136,1046,1375,1776,1635,4.7,6.2,8.0,22.9,478,803,1145,568,572,631,2164
92503,23332,88617,5201,6080,8148,6605,5.9,6.9,9.2,26.3,2869,2797,3981,2332,3283,4167,11648
92504,12640,57636,3472,2638,4114,4901,6.0,4.6,7.1,21.9,2000,1427,2222,1472,1211,1892,5646
92505,13037,52696,2969,3609,3924,4204,5.6,6.8,7.4,24.7,1372,2099,1758,1597,1510,2166,6650
92506,10843,44344,2642,3330,2967,2751,6.0,7.5,6.7,24.5,1367,2079,1696,1275,1251,1271,4853
92507,11579,60949,3409,2938,3016,8459,5.6,4.8,4.9,19.0,1848,1475,1688,1561,1463,1328,5238
92508,9544,36500,2135,2618,3132,2660,5.8,7.2,8.6,26.1,937,1232,1492,1198,1386,1640,5028
92509,21134,80325,5195,5084,6670,6923,6.5,6.3,8.3,26.3,2919,2470,2881,2276,2614,3789,10463
92518,314,1132,36,59,206,31,3.2,5.2,18.2,27.7,18,41,127,18,18,79,128
92521,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92530,16215,58249,4341,4635,4276,4916,7.5,8.0,7.3,27.8,1956,2239,2130,2385,2396,2146,8493
92532,7837,27454,2373,2149,2028,1678,8.6,7.8,7.4,28.5,1522,1254,1323,851,895,705,2792
92536,439,2569,78,204,105,52,3.0,7.9,4.1,17.1,0,110,0,78,94,105,287
92539,790,3760,274,341,164,59,7.3,9.1,4.4,21.0,101,279,47,173,62,117,352
92543,9627,38403,2278,2533,2887,2851,5.9,6.6,7.5,25.1,908,1431,1636,1370,1102,1251,4601
92544,13920,51567,3438,3857,3879,3915,6.7,7.5,7.5,27.0,1694,1831,1961,1744,2026,1918,7076
92545,10196,45219,2713,3468,2455,2516,6.0,7.7,5.4,22.5,1491,1694,1291,1222,1774,1164,4865
92548,1968,7110,288,727,686,513,4.1,10.2,9.6,27.7,139,345,316,149,382,370,989
92549,506,3535,103,176,66,299,2.9,5.0,1.9,14.3,75,14,66,28,162,0,208
92551,9692,36326,2373,3140,2846,2948,6.5,8.6,7.8,26.7,1155,1767,1539,1218,1373,1307,4495
92553,21327,73945,4802,5549,7034,6457,6.5,7.5,9.5,28.8,2536,2686,3086,2266,2863,3948,11091
92555,11273,44923,2617,2981,3609,3185,5.8,6.6,8.0,25.1,1492,1583,1713,1125,1398,1896,5528
92557,14335,54936,3775,3956,4439,3496,6.9,7.2,8.1,26.1,1954,2124,2094,1821,1832,2345,7197
92561,245,1622,156,0,63,35,9.6,0.0,3.9,15.1,78,0,44,78,0,19,118
92562,17231,64155,4493,4647,4916,5079,7.0,7.2,7.7,26.9,2271,2339,3105,2222,2308,1811,8299
92563,21431,78139,4779,6440,5809,7033,6.1,8.2,7.4,27.4,2369,2724,3189,2410,3716,2620,11100
92567,3290,10721,613,614,1406,1027,5.7,5.7,13.1,30.7,327,374,542,286,240,864,1820
92570,16063,58275,3764,4281,4832,5056,6.5,7.3,8.3,27.6,1806,1945,2547,1958,2336,2285,8080
92571,18283,59896,4638,5246,5459,4996,7.7,8.8,9.1,30.5,2018,2786,2729,2620,2460,2730,9361
92582,7192,21961,1616,1288,2554,2231,7.4,5.9,11.6,32.7,1156,764,978,460,524,1576,3316
92583,9066,33781,2502,2153,2773,2880,7.4,6.4,8.2,26.8,1053,1232,1228,1449,921,1545,4587
92584,15518,54663,3923,4690,4589,3228,7.2,8.6,8.4,28.4,1942,2199,2241,1981,2491,2348,8070
92585,7705,27083,1405,2255,2265,2495,5.2,8.3,8.4,28.4,602,1239,1473,803,1016,792,3268
92586,2809,20152,791,704,959,533,3.9,3.5,4.8,13.9,588,293,552,203,411,407,1244
92587,5139,18926,1507,1605,1252,1000,8.0,8.5,6.6,27.2,1072,780,631,435,825,621,2229
92590,1108,5212,349,225,385,327,6.7,4.3,7.4,21.3,129,140,234,220,85,151,535
92591,10048,41047,2221,3262,2989,2453,5.4,7.9,7.3,24.5,896,1965,1697,1325,1297,1292,4742
92592,23491,81636,5209,6530,7230,6367,6.4,8.0,8.9,28.8,2493,3476,3508,2716,3054,3722,11834
92595,8130,34698,2282,2145,2209,2532,6.6,6.2,6.4,23.4,1365,1002,1222,917,1143,987,3778
92596,11615,35726,3005,3129,3626,2590,8.4,8.8,10.1,32.5,1643,1617,1728,1362,1512,1898,5651
92602,7086,26663,1564,1872,2184,2016,5.9,7.0,8.2,26.6,1059,812,690,505,1060,1494,3867
92603,3706,19329,1136,901,1101,797,5.9,4.7,5.7,19.2,526,376,696,610,525,405,1860
92604,5971,29080,1408,1615,1763,1942,4.8,5.6,6.1,20.5,736,945,708,672,670,1055,2998
92606,5293,24431,1613,1555,1489,1496,6.6,6.4,6.1,21.7,840,809,534,773,746,955,2784
92610,2609,13107,654,741,735,756,5.0,5.7,5.6,19.9,287,436,343,367,305,392,1316
92612,4112,34868,1780,570,1061,2933,5.1,1.6,3.0,11.8,616,275,717,1164,295,344,2167
92614,6884,29544,2453,1675,1718,1872,8.3,5.7,5.8,23.3,1566,1006,771,887,669,947,3055
92617,2194,20432,806,625,451,5733,3.9,3.1,2.2,10.7,535,240,240,271,385,211,1141
92618,14473,59386,5351,3943,3007,3326,9.0,6.6,5.1,24.4,3292,2278,1527,2059,1665,1480,6225
92620,16595,61110,4207,4262,5170,4001,6.9,7.0,8.5,27.2,2214,2253,2609,1993,2009,2561,7989
92624,1254,6881,310,287,419,288,4.5,4.2,6.1,18.2,185,60,67,125,227,352,813
92625,2250,12546,434,446,816,664,3.5,3.6,6.5,17.9,184,139,360,250,307,456,1231
92626,8713,50198,2540,2148,2667,2434,5.1,4.3,5.3,17.4,1257,1005,1286,1283,1143,1381,4446
92627,12731,62181,3407,3175,3845,4287,5.5,5.1,6.2,20.5,1714,1847,1751,1693,1328,2094,6388
92629,4644,26144,1196,691,1707,1717,4.6,2.6,6.5,17.8,780,565,789,416,126,918,1838
92630,13406,66240,4350,3740,2966,3622,6.6,5.6,4.5,20.2,2389,2051,1596,1961,1689,1370,6149
92637,51,17452,0,35,16,0,0.0,0.2,0.1,0.3,0,35,0,0,0,16,16
92646,10328,56033,2112,3089,2841,3516,3.8,5.5,5.1,18.4,880,1570,1711,1232,1519,1130,4883
92647,11319,60114,3343,2609,3429,3447,5.6,4.3,5.7,18.8,1948,1197,1712,1395,1412,1717,5619
92648,8099,45667,2220,2080,2117,2454,4.9,4.6,4.6,17.7,1278,1047,1203,942,1033,914,3729
92649,5519,35206,1599,1219,1714,1764,4.5,3.5,4.9,15.7,885,627,1032,714,592,682,2488
92651,3658,23981,569,854,1352,1382,2.4,3.6,5.6,15.3,348,517,607,221,337,745,1785
92653,5766,29923,1111,1846,1850,1664,3.7,6.2,6.2,19.3,470,1081,1012,641,765,838,2712
92655,1718,8040,318,494,569,480,4.0,6.1,7.1,21.4,246,274,251,72,220,318,775
92656,12893,53143,3586,3333,3922,3420,6.7,6.3,7.4,24.3,1713,1527,1880,1873,1806,2042,6648
92657,2182,9169,429,390,935,533,4.7,4.3,10.2,23.8,307,142,465,122,248,470,1101
92660,7149,35926,1635,2088,2123,1822,4.6,5.8,5.9,19.9,876,1102,865,759,986,1258,3457
92661,351,3300,24,137,76,137,0.7,4.2,2.3,10.6,24,126,23,0,11,53,105
92662,184,2346,20,12,27,170,0.9,0.5,1.2,7.8,4,12,27,16,0,0,77
92663,2181,21886,583,485,880,410,2.7,2.2,4.0,10.0,273,225,598,310,260,282,881
92672,6889,38020,1706,1615,2237,2322,4.5,4.2,5.9,18.1,906,638,1240,800,977,997,3414
92673,8487,30633,1894,1877,3009,2462,6.2,6.1,9.8,27.7,967,959,1892,927,918,1117,3496
92675,8112,35099,1671,2342,2232,2385,4.8,6.7,6.4,23.1,789,977,1115,882,1365,1117,4358
92676,461,1952,117,110,90,163,6.0,5.6,4.6,23.6,31,38,37,86,72,53,287
92677,10919,64259,2345,2890,3627,3566,3.6,4.5,5.6,17.0,1128,1587,1910,1217,1303,1717,5032
92678,95,630,46,0,22,37,7.3,0.0,3.5,15.1,29,0,5,17,0,17,45
92679,6635,30971,1341,1578,2208,2324,4.3,5.1,7.1,21.4,683,758,1102,658,820,1106,3462
92683,19219,90630,4818,4563,6254,5996,5.3,5.0,6.9,21.2,2250,1885,3028,2568,2678,3226,10180
92688,10750,44444,2746,2829,3022,3480,6.2,6.4,6.8,24.2,1259,1635,1550,1487,1194,1472,5185
92691,9773,48073,2886,2404,2628,2629,6.0,5.0,5.5,20.3,1252,1182,1460,1634,1222,1168,4827
92692,8830,45977,2293,2424,2755,2464,5.0,5.3,6.0,19.2,1187,1278,1234,1106,1146,1521,4451
92694,11862,35074,3285,3592,3245,2702,9.4,10.2,9.3,33.8,1545,1723,1804,1740,1869,1441,5920
92697,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
92701,13624,49462,2677,4096,4452,4122,5.4,8.3,9.0,27.5,1441,2314,2588,1236,1782,1864,5922
92703,14234,61593,3510,3948,3798,5471,5.7,6.4,6.2,23.1,1917,2213,2145,1593,1735,1653,6541
92704,18619,80767,4785,4401,5599,6327,5.9,5.4,6.9,23.1,2397,2135,2745,2388,2266,2854,9443
92705,11274,46854,2701,3308,3131,3484,5.8,7.1,6.7,24.1,1235,1928,1404,1466,1380,1727,5607
92706,8416,36548,2369,2029,2394,2852,6.5,5.6,6.6,23.0,1255,1129,1256,1114,900,1138,3938
92707,13834,59712,3529,3395,4822,4515,5.9,5.7,8.1,23.2,1585,1883,2424,1944,1512,2398,7074
92708,10939,56754,2324,2691,3517,3732,4.1,4.7,6.2,19.3,1401,1573,1822,923,1118,1695,5080
92780,13422,54945,3572,3503,4198,3499,6.5,6.4,7.6,24.4,2170,1537,2266,1402,1966,1932,6114
92782,6769,29838,1924,1678,2175,2090,6.4,5.6,7.3,22.7,1146,759,1537,778,919,638,2827
92801,14850,64022,4120,4004,4354,4636,6.4,6.3,6.8,23.2,2313,2007,2276,1807,1997,2078,7115
92802,11510,44316,2583,3472,3276,3265,5.8,7.8,7.4,26.0,1681,1704,1575,902,1768,1701,5202
92804,18664,84700,4707,5039,5370,6007,5.6,5.9,6.3,22.0,2388,2504,2421,2319,2535,2949,9704
92805,17636,73310,4291,4466,5457,5975,5.9,6.1,7.4,24.1,1719,2399,2339,2572,2067,3118,9469
92806,9431,40945,3204,2449,2346,2344,7.8,6.0,5.7,23.0,1480,1462,1302,1724,987,1044,4435
92807,7287,36117,1735,1867,2236,2216,4.8,5.2,6.2,20.2,966,911,1255,769,956,981,3522
92808,4320,21080,1271,983,1215,1236,6.0,4.7,5.8,20.5,749,508,714,522,475,501,2012
92821,9078,41604,2028,2371,2906,2899,4.9,5.7,7.0,21.8,1182,1143,1460,846,1228,1446,4742
92823,1352,5495,392,433,233,390,7.1,7.9,4.2,24.6,128,140,157,264,293,76,765
92831,6638,36470,1757,1537,1964,2884,4.8,4.2,5.4,18.2,943,943,1286,814,594,678,2766
92832,6686,26040,1839,1664,2078,1606,7.1,6.4,8.0,25.7,762,674,1209,1077,990,869,3617
92833,12433,52799,3298,3213,4328,3261,6.2,6.1,8.2,23.5,1586,1817,2276,1712,1396,2052,6047
92835,6079,26687,1815,1366,2163,1020,6.8,5.1,8.1,22.8,652,393,1030,1163,973,1133,3657
92840,11540,53826,2606,2995,3482,4159,4.8,5.6,6.5,21.4,1165,1459,1916,1441,1536,1566,5798
92841,7301,34188,1748,1904,2168,2489,5.1,5.6,6.3,21.4,804,1087,1163,944,817,1005,3588
92843,10572,47549,2697,2653,3050,3746,5.7,5.6,6.4,22.2,1307,1293,1519,1390,1360,1531,5220
92844,4169,22622,990,971,1311,1472,4.4,4.3,5.8,18.4,431,590,582,559,381,729,2139
92845,3086,15530,855,847,917,801,5.5,5.5,5.9,19.9,511,425,631,344,422,286,1271
92860,4588,25367,1070,1199,1649,1131,4.2,4.7,6.5,18.1,625,629,863,445,570,786,2104
92861,1228,5814,201,373,418,305,3.5,6.4,7.2,21.1,65,158,260,136,215,158,565
92865,4619,21140,1231,1498,1252,987,5.8,7.1,5.9,21.8,744,867,571,487,631,681,2047
92866,2649,14873,814,544,747,908,5.5,3.7,5.0,17.8,442,273,484,372,271,263,1088
92867,9521,44216,2533,2466,2720,4151,5.7,5.6,6.2,21.5,1328,1303,1339,1205,1163,1381,4431
92868,5040,27280,1256,1510,1265,1588,4.6,5.5,4.6,18.5,435,790,673,821,720,592,2582
92869,7669,36429,2010,2241,2064,2098,5.5,6.2,5.7,21.1,787,1268,1059,1223,973,1005,3742
92870,12575,53150,2868,3494,3701,3677,5.4,6.6,7.0,23.7,1483,1483,1811,1385,2011,1890,6223
92879,11673,49111,2798,3047,3759,3283,5.7,6.2,7.7,23.8,1423,1810,1922,1375,1237,1837,5485
92880,21465,74645,5990,5485,6566,5907,8.0,7.3,8.8,28.8,3273,2603,3621,2717,2882,2945,10307
92881,7429,31401,1454,1910,2463,2828,4.6,6.1,7.8,23.7,846,975,1512,608,935,951,3154
92882,17363,69472,4145,4460,5583,4968,6.0,6.4,8.0,25.0,1926,2355,2770,2219,2105,2813,8744
92883,9341,37211,2394,2198,3123,2852,6.4,5.9,8.4,25.1,1190,1097,1456,1204,1101,1667,4990
92886,12023,50437,2487,3833,3524,3219,4.9,7.6,7.0,23.8,1152,2061,1803,1335,1772,1721,5902
92887,4042,20353,1145,1185,1076,1193,5.6,5.8,5.3,19.9,700,686,442,445,499,634,1935
93001,6034,31751,1614,1487,1885,1612,5.1,4.7,5.9,19.0,632,746,902,982,741,983,3376
93003,11314,53283,2530,3238,3010,3751,4.7,6.1,5.6,21.2,1257,1866,1352,1273,1372,1658,5667
93004,6234,31151,1601,2001,1385,2148,5.1,6.4,4.4,20.0,810,1133,706,791,868,679,2915
93010,10258,47656,3245,2779,2430,3194,6.8,5.8,5.1,21.5,1806,1438,1384,1439,1341,1046,4577
93012,6459,36145,1693,1429,2013,2757,4.7,4.0,5.6,17.9,1000,706,1103,693,723,910,3069
93013,3228,16459,941,811,1210,612,5.7,4.9,7.4,19.6,519,378,657,422,433,553,1552
93015,4682,18716,704,1358,1831,1561,3.8,7.3,9.8,25.0,313,711,687,391,647,1144,2611
93021,8813,37980,2164,2562,2361,2488,5.7,6.7,6.2,23.2,1136,1064,1153,1028,1498,1208,4495
93022,1271,6422,426,298,373,291,6.6,4.6,5.8,19.8,216,91,215,210,207,158,646
93023,3297,21279,807,849,998,1107,3.8,4.0,4.7,15.5,444,414,683,363,435,315,1535
93030,14918,58511,3833,4506,4070,4502,6.6,7.7,7.0,25.5,1843,2522,2438,1990,1984,1632,7027
93033,24204,82517,5963,6918,7114,6916,7.2,8.4,8.6,29.3,2606,3420,3699,3357,3498,3415,12216
93035,5264,26286,1036,1193,2016,1803,3.9,4.5,7.7,20.0,528,470,1171,508,723,845,2612
93036,11750,46959,2392,3391,4058,2935,5.1,7.2,8.6,25.0,1276,1681,2012,1116,1710,2046,5837
93040,484,1838,251,97,87,100,13.7,5.3,4.7,26.3,113,30,55,138,67,32,286
93041,5704,23108,1756,1634,1746,1038,7.6,7.1,7.6,24.7,741,879,895,1015,755,851,2934
93042,0,107,0,0,0,25,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93043,0,722,0,0,0,82,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93060,9194,34337,2331,2364,2798,2757,6.8,6.9,8.1,26.8,1216,1059,1280,1115,1305,1518,4777
93063,10848,57075,2581,2859,3562,2870,4.5,5.0,6.2,19.0,1662,1520,1333,919,1339,2229,5430
93064,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
93065,15311,72086,3128,3768,5033,5136,4.3,5.2,7.0,21.2,1804,1850,2490,1324,1918,2543,7439
93066,436,2805,84,64,182,193,3.0,2.3,6.5,15.5,41,27,67,43,37,115,202
93067,235,999,114,31,30,119,11.4,3.1,3.0,23.5,41,0,30,73,31,0,104
93101,5547,29870,1745,1501,1357,1755,5.8,5.0,4.5,18.6,1058,853,735,687,648,622,2392
93103,3447,19653,1107,829,1100,661,5.6,4.2,5.6,17.5,515,407,449,592,422,651,1861
93105,4268,26482,1220,1149,994,1483,4.6,4.3,3.8,16.1,765,688,595,455,461,399,1770
93106,88,5369,0,0,0,2529,0.0,0.0,0.0,1.6,0,0,0,0,0,0,45
93108,1473,11209,399,406,411,901,3.6,3.6,3.7,13.1,221,171,148,178,235,263,800
93109,1542,11626,314,273,469,1402,2.7,2.3,4.0,13.3,130,133,216,184,140,253,830
93110,2899,16403,710,778,916,781,4.3,4.7,5.6,17.7,329,513,456,381,265,460,1282
93111,3802,18165,723,1284,1342,827,4.0,7.1,7.4,20.9,249,479,828,474,805,514,1989
93117,7380,53345,1891,1747,2156,8464,3.5,3.3,4.0,13.8,984,912,1382,907,835,774,3454
93201,478,1209,205,155,93,52,17.0,12.8,7.7,39.5,72,36,49,133,119,44,306
93202,1489,4308,354,466,534,410,8.2,10.8,12.4,34.6,238,234,376,116,232,158,614
93203,7485,20781,2002,2035,2279,2063,9.6,9.8,11.0,36.0,1009,964,1123,993,1071,1156,3718
93204,3781,13423,990,915,1369,931,7.4,6.8,10.2,28.2,470,382,705,520,533,664,1947
93205,535,2320,122,46,258,109,5.3,2.0,11.1,23.1,0,46,215,122,0,43,165
93206,616,1709,109,184,191,185,6.4,10.8,11.2,36.0,85,89,69,24,95,122,306
93207,52,232,9,6,30,19,3.9,2.6,12.9,22.4,9,6,16,0,0,14,21
93208,0,127,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93210,4596,18937,905,1228,1402,1541,4.8,6.5,7.4,24.3,471,546,615,434,682,787,2517
93212,5026,23391,1286,1337,1583,1245,5.5,5.7,6.8,21.5,535,754,616,751,583,967,2686
93215,13257,53334,3066,3403,3816,4775,5.7,6.4,7.2,24.9,1497,2121,2278,1569,1282,1538,5511
93218,309,796,148,59,55,68,18.6,7.4,6.9,38.8,37,44,18,111,15,37,186
93219,3093,9871,707,748,999,1370,7.2,7.6,10.1,31.3,312,352,549,395,396,450,1542
93220,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
93221,3982,14423,755,1146,1514,904,5.2,7.9,10.5,27.6,358,535,748,397,611,766,1990
93222,296,2036,30,51,116,123,1.5,2.5,5.7,14.5,30,34,70,0,17,46,63
93223,2994,10424,540,843,1010,1085,5.2,8.1,9.7,28.7,322,441,310,218,402,700,1533
93224,152,501,24,39,56,52,4.8,7.8,11.2,30.3,21,17,15,3,22,41,85
93225,839,5018,184,84,415,298,3.7,1.7,8.3,16.7,126,21,254,58,63,161,357
93226,0,55,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93227,44,227,0,0,44,0,0.0,0.0,19.4,19.4,0,0,44,0,0,0,0
93230,19377,68572,4767,4827,6551,4903,7.0,7.0,9.6,28.3,2313,2287,3500,2454,2540,3051,9622
93234,2275,6571,552,559,770,491,8.4,8.5,11.7,34.6,214,274,403,338,285,367,1249
93235,1346,4360,255,472,537,499,5.8,10.8,12.3,30.9,143,169,319,112,303,218,633
93237,2,98,0,0,0,2,0.0,0.0,0.0,2.0,0,0,0,0,0,0,1
93238,220,866,81,8,130,1,9.4,0.9,15.0,25.4,81,0,62,0,8,68,76
93239,331,1404,95,19,130,87,6.8,1.4,9.3,23.6,54,0,17,41,19,113,173
93240,1385,5470,308,123,807,196,5.6,2.2,14.8,25.3,123,37,504,185,86,303,596
93241,5384,15978,1376,1675,1608,1412,8.6,10.5,10.1,33.7,782,830,795,594,845,813,2560
93242,858,2683,231,192,170,321,8.6,7.2,6.3,32.0,94,109,64,137,83,106,382
93243,126,977,54,56,16,34,5.5,5.7,1.6,12.9,0,56,14,54,0,2,56
93244,16,121,0,14,2,1,0.0,11.6,1.7,13.2,0,8,2,0,6,0,6
93245,10168,37439,3374,2490,2692,2652,9.0,6.7,7.2,27.2,1770,1488,1288,1604,1002,1404,4811
93246,0,1129,0,0,0,214,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93247,5518,17827,1100,1657,1718,1524,6.2,9.3,9.6,31.0,576,941,1053,524,716,665,2619
93249,749,1996,153,204,249,229,7.7,10.2,12.5,37.5,97,89,150,56,115,99,327
93250,5203,15126,1112,1432,1786,1587,7.4,9.5,11.8,34.4,659,635,896,453,797,890,2594
93251,80,293,16,35,20,27,5.5,11.9,6.8,27.3,14,18,11,2,17,9,37
93252,424,1680,83,151,129,100,4.9,9.0,7.7,25.2,38,61,41,45,90,88,242
93254,192,869,85,50,53,40,9.8,5.8,6.1,22.1,28,14,17,57,36,36,133
93255,0,872,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93256,1776,5575,334,570,429,685,6.0,10.2,7.7,31.9,243,252,213,91,318,216,766
93257,23865,79217,5410,5763,8171,6820,6.8,7.3,10.3,30.1,3105,2912,4245,2305,2851,3926,11417
93258,206,1086,35,71,80,60,3.2,6.5,7.4,19.0,0,36,37,35,35,43,113
93260,40,178,12,11,6,27,6.7,6.2,3.4,22.5,5,6,6,7,5,0,12
93261,591,1889,86,194,222,159,4.6,10.3,11.8,31.3,65,114,58,21,80,164,324
93262,0,18,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
93263,7631,22952,1620,2080,2458,2360,7.1,9.1,10.7,33.2,839,914,1204,781,1166,1254,4137
93265,622,3194,145,237,154,157,4.5,7.4,4.8,19.5,63,92,122,82,145,32,309
93266,549,1720,207,157,133,145,12.0,9.1,7.7,31.9,154,65,47,53,92,86,231
93267,1953,5811,354,620,366,669,6.1,10.7,6.3,33.6,157,511,213,197,109,153,726
93268,4672,17124,1273,1595,1214,1233,7.4,9.3,7.1,27.3,664,628,586,609,967,628,2463
93270,1629,5711,327,474,525,510,5.7,8.3,9.2,28.5,149,317,269,178,157,256,791
93271,402,2398,21,92,214,75,0.9,3.8,8.9,16.8,0,78,80,21,14,134,169
93272,1646,4548,313,469,530,535,6.9,10.3,11.7,36.2,148,209,258,165,260,272,767
93274,26090,78831,6718,7467,7486,6648,8.5,9.5,9.5,33.1,2855,3789,4170,3863,3678,3316,13084
93276,41,150,7,12,16,10,4.7,8.0,10.7,27.3,6,12,12,1,0,4,11
93277,14121,54127,4103,3761,3714,4037,7.6,6.9,6.9,26.1,2387,2152,1655,1716,1609,2059,6499
93280,7357,27356,1964,2468,2101,1250,7.2,9.0,7.7,26.9,801,1184,1174,1163,1284,927,3729
93283,367,2416,84,90,147,65,3.5,3.7,6.1,15.2,84,25,147,0,65,0,86
93285,173,2465,16,17,85,55,0.6,0.7,3.4,7.0,0,9,51,16,8,34,113
93286,3467,10418,1042,908,716,1191,10.0,8.7,6.9,33.3,308,493,363,734,415,353,1972
93287,21,119,15,0,2,4,12.6,0.0,1.7,17.6,15,0,0,0,0,2,6
93291,17992,61439,4561,5341,5498,4529,7.4,8.7,8.9,29.3,2211,2563,2240,2350,2778,3258,9682
93292,12912,44759,3825,3791,3416,2836,8.5,8.5,7.6,28.8,2028,1996,1544,1797,1795,1872,6182
93301,4356,13672,1087,1364,1428,815,8.0,10.0,10.4,31.9,659,648,546,428,716,882,2364
93304,14897,50158,4016,4531,3808,3863,8.0,9.0,7.6,29.7,1765,2444,1969,2251,2087,1839,7567
93305,12173,36783,3134,3586,3850,2544,8.5,9.7,10.5,33.1,1398,2101,1778,1736,1485,2072,5931
93306,22383,74769,5005,6662,6889,6029,6.7,8.9,9.2,29.9,2369,3677,3827,2636,2985,3062,10637
93307,30300,89651,7752,7487,9616,9065,8.6,8.4,10.7,33.8,4228,3459,5137,3524,4028,4479,14736
93308,13525,55150,3569,3650,4274,3572,6.5,6.6,7.7,24.5,1696,1366,2182,1873,2284,2092,7263
93309,16431,62828,4874,4295,4760,3638,7.8,6.8,7.6,26.2,2312,2261,2380,2562,2034,2380,8220
93311,14884,50535,3462,4070,4558,4018,6.9,8.1,9.0,29.5,2315,1935,2330,1147,2135,2228,6871
93312,18330,59616,4819,4334,5992,4866,8.1,7.3,10.1,30.7,2251,2294,3224,2568,2040,2768,8842
