Zipcode,Population,Per Capita Income,Poverty Count,Poverty Rate
91390,19093.0,45842.0,687.0,3.5981773424815375
91708,4880.0,19374.0,0.0,0.0
91915,33991.0,37835.0,2244.0,6.601747521402724
93442,10955.0,43169.0,904.0,8.251939753537197
93444,22383.0,38866.0,1465.0,6.545145869633203
93453,2414.0,36959.0,298.0,12.344656172328087
93463,7846.0,62176.0,531.0,6.767779760387459
93514,14423.0,34438.0,1371.0,9.505650696803716
93529,413.0,61173.0,65.0,15.738498789346247
93541,266.0,42461.0,13.0,4.887218045112782
93549,273.0,29830.0,20.0,7.326007326007326
93562,1757.0,21094.0,514.0,29.2544109277177
93268,18389.0,20737.0,5797.0,31.524280820055466
93271,2699.0,42512.0,193.0,7.150796591330122
93954,438.0,14379.0,124.0,28.310502283105023
93955,34757.0,28748.0,4073.0,11.718502747647955
93960,27009.0,15392.0,3264.0,12.084860602021548
93962,373.0,69006.0,0.0,0.0
93272,4925.0,15086.0,1015.0,20.609137055837564
93308,55211.0,23442.0,12273.0,22.229265907156183
93402,16198.0,38434.0,1493.0,9.217187307074948
93429,88.0,26330.0,0.0,0.0
93430,2681.0,41205.0,451.0,16.82208131294293
93063,56259.0,41468.0,4612.0,8.197799463196999
93205,2164.0,15077.0,1142.0,52.77264325323475
93224,364.0,22676.0,67.0,18.406593406593405
93226,82.0,36249.0,4.0,4.878048780487805
93240,6096.0,22398.0,1271.0,20.849737532808398
93251,237.0,17732.0,32.0,13.50210970464135
93265,3230.0,41085.0,407.0,12.60061919504644
93287,75.0,37699.0,3.0,4.0
93309,58709.0,25029.0,11525.0,19.630721013813897
93311,46618.0,41006.0,3674.0,7.881075979235488
93427,6195.0,44506.0,179.0,2.8894269572235673
93446,44960.0,38759.0,3540.0,7.8736654804270465
93451,4233.0,31617.0,689.0,16.276872194660996
93254,757.0,25717.0,68.0,8.982826948480845
93285,2009.0,23638.0,574.0,28.571428571428573
93286,10466.0,18206.0,3057.0,29.20886680680298
93312,59200.0,36001.0,4049.0,6.839527027027027
93109,11289.0,55574.0,2005.0,17.76065196208699
93111,18468.0,57252.0,1053.0,5.701754385964913
93201,1251.0,10989.0,480.0,38.36930455635492
93221,14596.0,29076.0,2724.0,18.662647300630308
93230,68896.0,26984.0,9212.0,13.370877844867627
93401,28751.0,47492.0,3842.0,13.363013460401378
93252,3180.0,15495.0,510.0,16.037735849056602
93458,56572.0,17716.0,8338.0,14.738740012727144
93530,6.0,,0.0,0.0
93552,39776.0,20661.0,5936.0,14.923572003218021
93933,25056.0,33162.0,3215.0,12.831257982120052
93638,51353.0,16416.0,15305.0,29.803516834459526
93030,59844.0,24787.0,6751.0,11.280997259541474
93040,1822.0,24228.0,220.0,12.074643249176729
93455,45246.0,39167.0,2539.0,5.611545772001945
90250,95115.0,27239.0,14264.0,14.996583083635599
