"Geographic Area Name (NAME)","Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)","Internal Point (Latitude) (INTPTLAT)","Internal Point (Longitude) (INTPTLON)"
"ZCTA5 90405","7,202,324","893,596","2.781","0.345","34.0110570","−118.4721524"
"ZCTA5 90501","14,724,154","8,095","5.685","0.003","33.8337437","−118.3140219"
"ZCTA5 90502","5,799,107","33,313","2.239","0.013","33.8331813","−118.2920619"
"ZCTA5 90503","13,640,983","4,355","5.267","0.002","33.8394633","−118.3536989"
"ZCTA5 90504","11,422,484","44,704","4.410","0.017","33.8672804","−118.3316422"
"ZCTA5 90505","15,155,933","29,696","5.852","0.011","33.8078823","−118.3479566"
"ZCTA5 90506","403,869","15,634","0.156","0.006","33.8846956","−118.3299980"
"ZCTA5 90601","27,458,654","367,099","10.602","0.142","34.0079366","−118.0303243"
"ZCTA5 90602","9,717,095","5,673","3.752","0.002","33.9742425","−118.0223302"
"ZCTA5 90603","8,193,153","0","3.163","0.000","33.9448663","−117.9923377"
"ZCTA5 90604","10,900,939","9,677","4.209","0.004","33.9276906","−118.0138277"
"ZCTA5 90605","16,540,582","24,843","6.386","0.010","33.9524438","−118.0213998"
"ZCTA5 90606","9,825,251","414,858","3.794","0.160","33.9772720","−118.0663633"
"ZCTA5 90620","16,492,874","23,818","6.368","0.009","33.8452232","−118.0152918"
"ZCTA5 90621","10,857,013","41,610","4.192","0.016","33.8742236","−117.9933677"
"ZCTA5 90623","4,698,566","60,099","1.814","0.023","33.8506159","−118.0395647"
"ZCTA5 90630","15,929,581","54,123","6.150","0.021","33.8184768","−118.0383074"
"ZCTA5 90631","36,194,538","20,609","13.975","0.008","33.9427081","−117.9524832"
"ZCTA5 90638","20,073,025","44,394","7.750","0.017","33.9020453","−118.0089608"
"ZCTA5 90639","363,833","0","0.140","0.000","33.9057464","−118.0149070"
"ZCTA5 90640","21,555,256","46,656","8.323","0.018","34.0154437","−118.1110124"
"ZCTA5 90650","25,647,340","98,406","9.902","0.038","33.9077898","−118.0824874"
"ZCTA5 90660","20,073,708","1,134,661","7.751","0.438","33.9895238","−118.0892952"
"ZCTA5 90670","21,544,757","101,085","8.318","0.039","33.9335648","−118.0626113"
"ZCTA5 90680","6,609,687","0","2.552","0.000","33.8011398","−117.9953266"
"ZCTA5 90701","4,217,647","0","1.628","0.000","33.8676054","−118.0806306"
"ZCTA5 90703","22,658,218","340,320","8.748","0.131","33.8677450","−118.0694710"
"ZCTA5 90704","197,068,550","567,992,732","76.089","219.303","33.3993247","−118.4353285"
"ZCTA5 90706","15,812,530","129,197","6.105","0.050","33.8878214","−118.1272504"
"ZCTA5 90710","6,046,215","1,884","2.334","0.001","33.7989054","−118.3002391"
"ZCTA5 90712","10,916,832","53,623","4.215","0.021","33.8490340","−118.1479023"
"ZCTA5 90713","8,981,676","0","3.468","0.000","33.8480221","−118.1127458"
"ZCTA5 90715","4,389,074","109,794","1.695","0.042","33.8410269","−118.0791411"
"ZCTA5 90716","2,386,068","0","0.921","0.000","33.8304734","−118.0729587"
"ZCTA5 90717","5,187,866","0","2.003","0.000","33.7934561","−118.3170541"
"ZCTA5 90720","15,743,998","161,830","6.079","0.062","33.7950124","−118.0626915"
"ZCTA5 90723","12,295,470","283,684","4.747","0.110","33.8988835","−118.1666294"
"ZCTA5 90731","23,893,194","14,359,827","9.225","5.544","33.7323531","−118.2781507"
"ZCTA5 90732","9,263,474","2,122,046","3.577","0.819","33.7373213","−118.3134334"
"ZCTA5 90740","28,775,784","2,522,674","11.110","0.974","33.7543338","−118.0732668"
"ZCTA5 90742","446,280","945,469","0.172","0.365","33.7210155","−118.0761703"
