ZIP Code,Population Under 18 years,Total Population,Percent Population Under 18 years,Female Population Under 18 years,Male Population Under 18 years
91724,5889,28575,20.6,2731,3158
91730,16581,71040,23.3,8538,8043
91731,6486,28201,23.0,2946,3540
91732,13197,58888,22.4,6696,6501
91733,9696,42953,22.6,4493,5203
91737,5043,23108,21.8,2179,2864
91739,10068,41319,24.4,4321,5747
91740,6196,27131,22.8,3408,2788
91741,5693,26052,21.9,2816,2877
91744,17843,79380,22.5,8220,9623
91745,10417,55489,18.8,5499,4918
91746,6037,29429,20.5,3101,2936
91748,7960,43851,18.2,3801,4159
91750,6574,33436,19.7,3169,3405
91752,8960,37173,24.1,4756,4204
91754,5908,33937,17.4,3017,2891
91755,4479,26418,17.0,2170,2309
91759,36,299,12.0,15,21
91761,14878,61837,24.1,7893,6985
91762,16006,62990,25.4,7942,8064
91763,9570,37698,25.4,5068,4502
91764,13782,55311,24.9,7022,6760
91765,8805,45303,19.4,4474,4331
91766,17123,69517,24.6,8697,8426
91767,12372,50715,24.4,6344,6028
91768,7804,35443,22.0,4187,3617
91770,11041,59410,18.6,4985,6056
91773,6833,34066,20.1,3513,3320
91775,4697,24169,19.4,2168,2529
91776,6580,37340,17.6,2899,3681
91780,7577,35556,21.3,3878,3699
91784,5062,26116,19.4,2762,2300
91786,12589,56025,22.5,6437,6152
91789,7779,41377,18.8,4124,3655
91790,9802,44855,21.9,4683,5119
91791,6011,33902,17.7,2852,3159
91792,5781,31208,18.5,2948,2833
91801,8984,53320,16.8,4655,4329
91803,5619,29006,19.4,2739,2880
91901,3982,18669,21.3,2136,1846
91902,2860,17121,16.7,1428,1432
91905,101,1411,7.2,54,47
91906,1370,4281,32.0,549,821
91910,16142,76313,21.2,8175,7967
91911,21272,87799,24.2,10800,10472
91913,15361,56102,27.4,8099,7262
91914,4256,17373,24.5,1843,2413
91915,10966,35608,30.8,5110,5856
91916,338,1833,18.4,154,184
91917,351,851,41.2,226,125
91931,241,749,32.2,172,69
91932,5846,26157,22.3,2807,3039
91934,118,1251,9.4,37,81
91935,1869,9320,20.1,908,961
91941,6738,33602,20.1,3127,3611
91942,8475,40995,20.7,4185,4290
91945,6018,27541,21.9,2918,3100
91948,0,104,0.0,0,0
91950,13018,57844,22.5,6416,6602
91962,417,2528,16.5,202,215
91963,156,624,25.0,79,77
91977,16264,65497,24.8,8064,8200
91978,2542,11006,23.1,1396,1146
91980,17,103,16.5,0,17
92003,767,4404,17.4,381,386
92004,344,3200,10.8,168,176
92007,3071,11939,25.7,1023,2048
92008,4453,27373,16.3,2023,2430
92009,12293,46334,26.5,6025,6268
92010,3682,16566,22.2,1529,2153
92011,5682,24472,23.2,2730,2952
92014,2029,12532,16.2,748,1281
92019,10482,45937,22.8,4877,5605
92020,14033,59775,23.5,7283,6750
92021,17270,69638,24.8,8576,8694
92024,9894,50222,19.7,5159,4735
92025,12109,50270,24.1,6237,5872
92026,11254,53053,21.2,4645,6609
92027,13069,55750,23.4,6554,6515
92028,12453,51135,24.4,6004,6449
92029,3898,19986,19.5,1987,1911
92036,281,3075,9.1,124,157
92037,6225,37665,16.5,2585,3640
92040,10332,45906,22.5,5739,4593
92054,6901,37050,18.6,3325,3576
92055,0,10618,0.0,0,0
92056,11634,54190,21.5,5597,6037
92057,13080,58022,22.5,6634,6446
92058,12414,48272,25.7,6314,6100
92059,477,1456,32.8,327,150
92060,0,506,0.0,0,0
92061,186,1677,11.1,120,66
92064,10841,48783,22.2,5138,5703
92065,8103,36836,22.0,3546,4557
92066,42,319,13.2,27,15
92067,2250,9186,24.5,1415,835
92069,11473,46648,24.6,5492,5981
92070,120,761,15.8,39,81
92071,13657,59795,22.8,6152,7505
92075,2372,12072,19.6,1233,1139
92078,13566,53019,25.6,6200,7366
92081,6494,29475,22.0,3327,3167
92082,4830,20678,23.4,2422,2408
92083,9225,37864,24.4,4677,4548
92084,12046,49971,24.1,5346,6700
92086,163,1409,11.6,111,52
92091,211,1288,16.4,109,102
92092,0,521,0.0,0,0
92093,0,2044,0.0,0,0
92096,0,0,,0,0
92101,2090,46025,4.5,966,1124
92102,8476,40051,21.2,4201,4275
92103,2979,34296,8.7,1502,1477
92104,6694,46613,14.4,3484,3210
92105,17282,72688,23.8,8380,8902
92106,3796,20483,18.5,2078,1718
92107,4158,29435,14.1,2142,2016
92108,2842,24201,11.7,1189,1653
92109,4528,44009,10.3,2118,2410
92110,4526,30773,14.7,2225,2301
92111,8256,47710,17.3,4385,3871
92113,14147,50983,27.7,6889,7258
92114,14051,66487,21.1,6214,7837
92115,10454,61456,17.0,5116,5338
92116,3581,31836,11.2,1745,1836
92117,9556,54499,17.5,4277,5279
92118,3259,17602,18.5,1596,1663
92119,5004,24419,20.5,2616,2388
92120,6267,30241,20.7,2978,3289
92121,613,4150,14.8,336,277
92122,6054,45988,13.2,2734,3320
92123,5933,32951,18.0,2637,3296
92124,8543,31121,27.5,4352,4191
92126,15401,78111,19.7,7586,7815
92127,14428,51107,28.2,7039,7389
92128,9413,49273,19.1,4499,4914
92129,12267,52495,23.4,6155,6112
92130,15484,57363,27.0,7608,7876
92131,9365,35227,26.6,4472,4893
92132,0,0,,0,0
92134,0,241,0.0,0,0
92135,0,1095,0.0,0,0
92136,6,9630,0.1,0,6
92139,7862,34930,22.5,4160,3702
92140,30,2807,1.1,0,30
92145,0,2810,0.0,0,0
92147,0,180,0.0,0,0
92154,19045,83758,22.7,8979,10066
92155,0,196,0.0,0,0
92161,0,12,0.0,0,0
92173,7195,28609,25.1,3591,3604
92179,0,3031,0.0,0,0
92182,0,0,,0,0
92201,13834,64325,21.5,6919,6915
92203,8130,33558,24.2,4062,4068
92210,286,4832,5.9,83,203
92211,3129,26741,11.7,1700,1429
92220,7503,32797,22.9,3342,4161
92222,0,0,,0,0
92223,17554,61686,28.5,8262,9292
92225,4610,21189,21.8,2234,2376
92227,8222,27540,29.9,4101,4121
92230,343,2039,16.8,176,167
92231,11135,38674,28.8,5300,5835
92233,1109,6871,16.1,575,534
92234,10485,51964,20.2,5547,4938
92236,9415,42506,22.1,4284,5131
92239,16,296,5.4,5,11
92240,10575,40755,25.9,5238,5337
92241,1251,8232,15.2,785,466
92242,176,1230,14.3,47,129
92243,14520,49193,29.5,7061,7459
92249,2269,7910,28.7,1031,1238
92250,2161,8033,26.9,1083,1078
92251,7975,27050,29.5,4071,3904
92252,1384,7911,17.5,901,483
92253,6932,37898,18.3,2569,4363
92254,1728,9362,18.5,947,781
92256,633,3387,18.7,284,349
92257,389,1186,32.8,228,161
92258,107,547,19.6,55,52
92259,0,225,0.0,0,0
92260,4186,31039,13.5,2224,1962
92262,2941,25856,11.4,1190,1751
92264,1186,20229,5.9,501,685
92266,0,170,0.0,0,0
92267,0,0,,0,0
92268,0,405,0.0,0,0
92270,1493,17257,8.7,646,847
92273,447,1631,27.4,233,214
92274,3027,15917,19.0,1603,1424
92275,363,1406,25.8,161,202
92276,2257,8242,27.4,1342,915
92277,8194,27370,29.9,3848,4346
92278,0,3574,0.0,0,0
92280,0,0,,0,0
92281,831,2238,37.1,393,438
92282,255,1361,18.7,139,116
92283,662,1967,33.7,332,330
92284,5949,25741,23.1,3010,2939
92285,216,2726,7.9,108,108
92301,12849,38565,33.3,6064,6785
92304,0,0,,0,0
92305,202,500,40.4,112,90
92307,10693,40534,26.4,4817,5876
92308,13210,43191,30.6,6525,6685
92309,159,561,28.3,82,77
92310,2671,8967,29.8,1301,1370
92311,10378,34226,30.3,4988,5390
92313,2803,13104,21.4,1337,1466
92314,2385,10658,22.4,1079,1306
92315,1134,5228,21.7,509,625
92316,7968,30656,26.0,3045,4923
92317,46,567,8.1,10,36
92320,2251,10366,21.7,960,1291
92321,158,784,20.2,107,51
92322,89,746,11.9,30,59
92324,14007,57593,24.3,7185,6822
92325,1630,8449,19.3,831,799
92327,86,633,13.6,26,60
92328,56,1022,5.5,0,56
92332,21,177,11.9,21,0
92333,34,429,7.9,6,28
92335,27803,96704,28.8,13127,14676
92336,27833,100571,27.7,13447,14386
92337,9497,37292,25.5,4748,4749
92338,0,0,,0,0
92339,313,1064,29.4,47,266
92341,56,331,16.9,36,20
92342,1409,6317,22.3,693,716
92344,5136,20448,25.1,2227,2909
92345,25665,87476,29.3,12748,12917
92346,15638,60025,26.1,7233,8405
92347,105,601,17.5,23,82
92350,0,468,0.0,0,0
92352,1220,6147,19.8,526,694
92354,4349,23054,18.9,2306,2043
92356,1719,7048,24.4,794,925
92358,49,762,6.4,7,42
92359,2414,9758,24.7,997,1417
92363,1127,5447,20.7,583,544
92364,0,12,0.0,0,0
92365,469,2393,19.6,162,307
92368,276,1018,27.1,156,120
92369,34,3999,0.9,0,34
92371,6472,21265,30.4,3542,2930
92372,1378,5208,26.5,756,622
92373,7473,33946,22.0,3740,3733
92374,10488,44976,23.3,4848,5640
92376,23625,85727,27.6,11829,11796
92377,5336,20935,25.5,2666,2670
92378,110,437,25.2,65,45
92382,1277,4884,26.1,611,666
92384,0,23,0.0,0,0
92385,0,167,0.0,0,0
92386,426,2064,20.6,317,109
92389,0,187,0.0,0,0
92391,411,2177,18.9,197,214
92392,18638,61859,30.1,9303,9335
92394,11843,39939,29.7,5689,6154
92395,14226,48479,29.3,6739,7487
92397,908,5059,17.9,384,524
92398,166,1394,11.9,60,106
92399,13997,55236,25.3,7389,6608
92401,546,2060,26.5,275,271
92404,18370,64090,28.7,8728,9642
92405,10154,31550,32.2,4877,5277
92407,18872,67207,28.1,9904,8968
92408,3016,12478,24.2,1553,1463
92410,14139,48398,29.2,6834,7305
92411,8019,26915,29.8,4026,3993
92415,0,0,,0,0
92501,5060,22136,22.9,2164,2896
92503,23332,88617,26.3,11648,11684
92504,12640,57636,21.9,5646,6994
92505,13037,52696,24.7,6650,6387
92506,10843,44344,24.5,4853,5990
92507,11579,60949,19.0,5238,6341
92508,9544,36500,26.1,5028,4516
92509,21134,80325,26.3,10463,10671
92518,314,1132,27.7,128,186
92521,0,0,,0,0
92530,16215,58249,27.8,8493,7722
92532,7837,27454,28.5,2792,5045
92536,439,2569,17.1,287,152
92539,790,3760,21.0,352,438
92543,9627,38403,25.1,4601,5026
92544,13920,51567,27.0,7076,6844
92545,10196,45219,22.5,4865,5331
92548,1968,7110,27.7,989,979
92549,506,3535,14.3,208,298
92551,9692,36326,26.7,4495,5197
92553,21327,73945,28.8,11091,10236
92555,11273,44923,25.1,5528,5745
92557,14335,54936,26.1,7197,7138
92561,245,1622,15.1,118,127
92562,17231,64155,26.9,8299,8932
92563,21431,78139,27.4,11100,10331
92567,3290,10721,30.7,1820,1470
92570,16063,58275,27.6,8080,7983
92571,18283,59896,30.5,9361,8922
92582,7192,21961,32.7,3316,3876
92583,9066,33781,26.8,4587,4479
92584,15518,54663,28.4,8070,7448
92585,7705,27083,28.4,3268,4437
92586,2809,20152,13.9,1244,1565
92587,5139,18926,27.2,2229,2910
92590,1108,5212,21.3,535,573
92591,10048,41047,24.5,4742,5306
92592,23491,81636,28.8,11834,11657
92595,8130,34698,23.4,3778,4352
92596,11615,35726,32.5,5651,5964
92602,7086,26663,26.6,3867,3219
92603,3706,19329,19.2,1860,1846
92604,5971,29080,20.5,2998,2973
92606,5293,24431,21.7,2784,2509
92610,2609,13107,19.9,1316,1293
92612,4112,34868,11.8,2167,1945
92614,6884,29544,23.3,3055,3829
92617,2194,20432,10.7,1141,1053
