ZIP Code,Population Under 18 years,Total Population,Percent Population Under 18 years,Female Population Under 18 years,Male Population Under 18 years
95713,2042,10280,19.9,911,1131
95714,72,411,17.5,29,43
95715,26,110,23.6,11,15
95717,20,129,15.5,14,6
95720,36,107,33.6,20,16
95721,0,0,,0,0
95722,751,4829,15.6,396,355
95726,1392,7974,17.5,591,801
95728,120,549,21.9,87,33
95735,2,51,3.9,2,0
95736,0,131,0.0,0,0
95742,4228,14883,28.4,1766,2462
95746,5264,22743,23.1,2827,2437
95747,18839,75681,24.9,8717,10122
95757,14596,53232,27.4,7449,7147
95758,16573,66153,25.1,7833,8740
95762,11486,45842,25.1,5592,5894
95765,11470,43059,26.6,5566,5904
95776,6570,26352,24.9,3189,3381
95811,558,8456,6.6,293,265
95814,485,12248,4.0,235,250
95815,6669,26523,25.1,3128,3541
95816,1293,18334,7.1,660,633
95817,2204,14513,15.2,1065,1139
95818,4402,23062,19.1,1864,2538
95819,3368,19806,17.0,1524,1844
95820,7403,36024,20.6,3853,3550
95821,8265,37436,22.1,3764,4501
95822,10545,46413,22.7,5223,5322
95823,23542,82983,28.4,11455,12087
95824,8656,30556,28.3,4139,4517
95825,7896,37310,21.2,3514,4382
95826,8032,40205,20.0,4296,3736
95827,4839,21084,23.0,2608,2231
95828,14928,60850,24.5,7307,7621
95829,8263,31297,26.4,4142,4121
95830,124,746,16.6,23,101
95831,8743,44450,19.7,4214,4529
95832,3662,13116,27.9,1632,2030
95833,9396,40908,23.0,4753,4643
95834,8742,34892,25.1,4447,4295
95835,9839,40957,24.0,4460,5379
95837,16,306,5.2,13,3
95838,11497,41311,27.8,5538,5959
95841,4743,21542,22.0,2350,2393
95842,9755,34775,28.1,4597,5158
95843,12533,47195,26.6,5888,6645
95864,5846,25728,22.7,2891,2955
95901,9859,36119,27.3,4464,5395
95903,432,1868,23.1,223,209
95910,0,148,0.0,0,0
95912,1193,4908,24.3,550,643
95913,52,313,16.6,15,37
95914,72,450,16.0,23,49
95915,0,0,,0,0
95916,149,965,15.4,77,72
95917,1035,4091,25.3,555,480
95918,226,1807,12.5,139,87
95919,237,1183,20.0,174,63
95920,27,164,16.5,5,22
95922,86,593,14.5,48,38
95923,0,43,0.0,0,0
95925,48,188,25.5,48,0
95926,7415,42362,17.5,3722,3693
95928,5989,38412,15.6,2956,3033
95929,0,0,,0,0
95930,183,417,43.9,66,117
95932,2086,7789,26.8,1041,1045
95934,0,33,0.0,0,0
95935,43,465,9.2,0,43
95936,0,121,0.0,0,0
95937,218,1145,19.0,128,90
95938,957,4451,21.5,600,357
95939,37,376,9.8,15,22
95941,85,396,21.5,2,83
95942,391,1786,21.9,101,290
95943,139,670,20.7,74,65
95944,0,65,0.0,0,0
95945,5055,27388,18.5,2294,2761
95946,1327,9049,14.7,609,718
95947,306,1407,21.7,134,172
95948,3520,11456,30.7,1813,1707
95949,3101,21232,14.6,1569,1532
95950,99,442,22.4,35,64
95951,599,2522,23.8,328,271
95953,3175,11201,28.3,1622,1553
95954,2033,10163,20.0,1036,997
95955,354,1413,25.1,137,217
95956,99,458,21.6,69,30
95957,167,752,22.2,100,67
95958,0,0,,0,0
95959,2483,18244,13.6,1092,1391
95960,160,594,26.9,66,94
95961,9661,32663,29.6,4947,4714
95962,132,1136,11.6,21,111
95963,4389,16485,26.6,2219,2170
95965,4927,20835,23.6,2585,2342
95966,6423,30108,21.3,3136,3287
95968,208,1366,15.2,66,142
95969,1048,7564,13.9,369,679
95970,135,466,29.0,53,82
95971,983,5931,16.6,394,589
95972,86,142,60.6,47,39
95973,8474,38323,22.1,3760,4714
95974,0,65,0.0,0,0
95975,408,1628,25.1,226,182
95977,332,1822,18.2,149,183
95978,23,98,23.5,12,11
95979,35,374,9.4,9,26
95981,0,52,0.0,0,0
95982,729,3084,23.6,400,329
95983,10,395,2.5,0,10
95984,0,177,0.0,0,0
95986,0,104,0.0,0,0
95987,1916,6504,29.5,1016,900
95988,2486,8748,28.4,911,1575
95991,12091,43978,27.5,5897,6194
95993,8360,37222,22.5,3603,4757
96001,8049,34721,23.2,3472,4577
96002,8629,34634,24.9,4231,4398
96003,8476,43945,19.3,4290,4186
96006,56,587,9.5,40,16
96007,5081,24849,20.4,2549,2532
96008,205,1123,18.3,74,131
96009,59,247,23.9,31,28
96010,0,28,0.0,0,0
96011,70,232,30.2,29,41
96013,1177,4212,27.9,628,549
96014,40,173,23.1,29,11
96015,6,560,1.1,3,3
96016,57,319,17.9,0,57
96017,10,143,7.0,5,5
96019,2433,10466,23.2,1198,1235
96020,362,2593,14.0,107,255
96021,3780,15746,24.0,2154,1626
96022,2887,14751,19.6,1604,1283
96023,279,1189,23.5,117,162
96024,315,1105,28.5,113,202
96025,451,2247,20.1,251,200
96027,345,1907,18.1,167,178
96028,395,1805,21.9,190,205
96029,42,120,35.0,20,22
96031,3,66,4.5,3,0
96032,587,2606,22.5,269,318
96033,60,321,18.7,20,40
96034,54,345,15.7,21,33
96035,1219,4097,29.8,310,909
96037,0,131,0.0,0,0
96038,87,499,17.4,31,56
96039,112,726,15.4,57,55
96040,0,71,0.0,0,0
96041,389,3511,11.1,65,324
96044,309,1215,25.4,182,127
96046,0,328,0.0,0,0
96047,66,843,7.8,35,31
96048,143,1283,11.1,70,73
96050,9,400,2.3,3,6
96051,59,1067,5.5,45,14
96052,611,2538,24.1,359,252
96054,40,269,14.9,9,31
96055,918,3760,24.4,371,547
96056,267,1318,20.3,126,141
96057,148,1158,12.8,33,115
96058,190,809,23.5,94,96
96059,52,323,16.1,0,52
96061,0,0,,0,0
96062,95,1002,9.5,47,48
96063,0,77,0.0,0,0
96064,1011,4690,21.6,443,568
96065,29,364,8.0,17,12
96067,1226,7321,16.7,813,413
96068,23,125,18.4,15,8
96069,330,1390,23.7,141,189
96071,0,7,0.0,0,0
96073,1611,5648,28.5,825,786
96074,29,183,15.8,6,23
96075,0,341,0.0,0,0
96076,0,152,0.0,0,0
96078,37,135,27.4,37,0
96080,7782,31190,25.0,3818,3964
96084,99,664,14.9,61,38
96085,9,38,23.7,9,0
96086,42,268,15.7,21,21
96087,106,824,12.9,31,75
96088,488,4703,10.4,295,193
96090,79,421,18.8,30,49
96091,41,693,5.9,21,20
96092,83,402,20.6,51,32
96093,696,3959,17.6,463,233
96094,1222,6985,17.5,556,666
96096,78,784,9.9,47,31
96097,2494,10154,24.6,1013,1481
96101,927,4824,19.2,498,429
96103,214,1340,16.0,133,81
96104,240,962,24.9,145,95
96105,103,429,24.0,69,34
96106,155,465,33.3,92,63
96107,157,868,18.1,103,54
96108,51,149,34.2,26,25
96109,216,1297,16.7,47,169
96110,0,37,0.0,0,0
96111,0,23,0.0,0,0
96112,29,172,16.9,15,14
96113,163,2164,7.5,77,86
96114,401,2927,13.7,213,188
96115,17,122,13.9,12,5
96116,0,19,0.0,0,0
96117,127,288,44.1,83,44
96118,233,1581,14.7,72,161
96119,15,31,48.4,15,0
96120,245,1209,20.3,103,142
96121,0,145,0.0,0,0
96122,777,4121,18.9,364,413
96123,17,62,27.4,0,17
96124,122,320,38.1,77,45
96125,0,234,0.0,0,0
96126,41,227,18.1,41,0
96128,225,600,37.5,78,147
96129,217,640,33.9,0,217
96130,3690,21460,17.2,1871,1819
96132,0,17,0.0,0,0
96133,0,188,0.0,0,0
96134,535,2236,23.9,300,235
96135,0,106,0.0,0,0
96136,16,40,40.0,16,0
96137,455,2949,15.4,216,239
96140,190,1219,15.6,160,30
96141,67,592,11.3,41,26
96142,119,946,12.6,61,58
96143,675,3130,21.6,405,270
96145,597,3081,19.4,346,251
96146,97,1147,8.5,40,57
96148,69,630,11.0,26,43
96150,4779,29457,16.2,2537,2242
96155,0,0,,0,0
96161,4062,19146,21.2,2106,1956
97635,123,345,35.7,107,16
