ZIP Code,Household Median Income,Household Mean Income,Family Median Income,Family Mean Income,Married-couple Family Median Income,Married-couple Family Mean Income,Nonfamily Household Median Income,Nonfamily Household Mean Income,Primary Practice,Number of Pediatricians,Land Area sq meters,Water Area sq meters,Land Area sq miles,Water Area sq miles,Latitude,Longitude,Population,Population Density per sq mile
90067,111299.0,178513.0,135368.0,234399.0,146146.0,,101406.0,137967.0,Pediatrics,5.0,1114110.0,0.0,0.43,0.0,34.0564373,-118.4136903,2560.0,5953.488372093023
90068,87327.0,163696.0,174237.0,279485.0,185872.0,,66269.0,99179.0,Pediatrics,1.0,20729770.0,448801.0,8.004,0.173,34.1241792,-118.3273508,21590.0,2697.401299350325
90069,90546.0,151285.0,130856.0,222483.0,158618.0,,74236.0,126403.0,Pediatrics,5.0,5573187.0,0.0,2.152,0.0,34.0939535,-118.3815305,20035.0,9309.944237918216
90070,,,,,,,,,Pediatrics,0.0,,,,,,,,
90071,61895.0,81146.0,,,,,61613.0,72305.0,Pediatrics,1.0,349113.0,0.0,0.135,0.0,34.0523793,-118.2552091,152.0,1125.925925925926
90073,,,,,,,,,Pediatrics,0.0,1389351.0,0.0,0.536,0.0,34.0573301,-118.4595342,962.0,1794.776119402985
90074,,,,,,,,,Pediatrics,0.0,,,,,,,,
90075,,,,,,,,,Pediatrics,0.0,,,,,,,,
90076,,,,,,,,,Pediatrics,1.0,,,,,,,,
90077,222982.0,396259.0,,461650.0,,,121719.0,188606.0,Pediatrics,7.0,18807577.0,350034.0,7.262,0.135,34.108023,-118.4569641,8328.0,1146.7915174882953
90078,,,,,,,,,Pediatrics,0.0,,,,,,,,
90079,,,,,,,,,nan,,25585.0,0.0,0.01,0.0,34.040587,-118.2554035,0.0,0.0
90081,,,,,,,,,Pediatrics,0.0,,,,,,,,
90083,,,,,,,,,Pediatrics,0.0,,,,,,,,
90086,,,,,,,,,Pediatrics,0.0,,,,,,,,
90089,,,,,,,,,Pediatrics,7.0,844417.0,0.0,0.326,0.0,34.0215432,-118.2855741,3740.0,11472.39263803681
90090,,,,,,,,,nan,,,,,,,,,
90093,,,,,,,,,Pediatrics,0.0,,,,,,,,
90094,170634.0,234855.0,234559.0,302386.0,240817.0,,103372.0,145505.0,Pediatrics,3.0,1850548.0,7324.0,0.715,0.003,33.9753066,-118.4187082,9065.0,12678.32167832168
90095,,,,,,,,,Pediatrics,133.0,1035082.0,0.0,0.4,0.0,34.0711826,-118.4434044,0.0,0.0
90099,,,,,,,,,Pediatrics,0.0,,,,,,,,
90201,46109.0,57422.0,46742.0,56694.0,54688.0,66860.0,20449.0,38012.0,Pediatrics,9.0,15509600.0,550228.0,5.988,0.212,33.9703429,-118.1713681,100512.0,16785.571142284567
90209,,,,,,,,,Pediatrics,1.0,,,,,,,,
90210,152037.0,283080.0,197632.0,355184.0,218854.0,,79120.0,150968.0,Pediatrics,7.0,27838093.0,139467.0,10.748,0.054,34.1005166,-118.4146299,19229.0,1789.0770375883887
90211,96111.0,157395.0,141357.0,223517.0,162865.0,,62500.0,78240.0,Pediatrics,25.0,1813406.0,0.0,0.7,0.0,34.0649562,-118.3829813,9211.0,13158.57142857143
90212,86496.0,158695.0,129225.0,202069.0,155714.0,,65903.0,107689.0,Pediatrics,1.0,2451840.0,0.0,0.947,0.0,34.0621605,-118.4018817,11878.0,12542.766631467794
90213,,,,,,,,,Pediatrics,0.0,,,,,,,,
90220,61279.0,71566.0,63066.0,72770.0,73086.0,,40559.0,56547.0,Pediatrics,1.0,17917669.0,156703.0,6.918,0.061,33.8797798,-118.2296785,51042.0,7378.143972246314
90221,53683.0,66701.0,55878.0,67997.0,63308.0,,26760.0,41513.0,Pediatrics,2.0,13937517.0,190724.0,5.381,0.074,33.8858107,-118.2064586,50928.0,9464.41181936443
90222,57101.0,65933.0,64454.0,71142.0,76463.0,,19932.0,35958.0,Pediatrics,0.0,7009949.0,28429.0,2.707,0.011,33.9122401,-118.2376069,34547.0,12762.09826376062
90230,87469.0,121365.0,114526.0,150835.0,141716.0,,65597.0,79946.0,Pediatrics,8.0,11758227.0,103577.0,4.54,0.04,33.9978617,-118.3936166,33135.0,7298.458149779735
90231,,,,,,,,,Pediatrics,1.0,,,,,,,,
90232,98116.0,127266.0,125809.0,167808.0,155417.0,,73116.0,88783.0,Pediatrics,5.0,5600908.0,37209.0,2.163,0.014,34.0193227,-118.3919023,14921.0,6898.28941285252
90239,,,,,,,,,Pediatrics,1.0,,,,,,,,
90240,87107.0,125793.0,87572.0,129604.0,105545.0,,49912.0,70907.0,Pediatrics,4.0,7793489.0,180345.0,3.009,0.07,33.9557293,-118.1183459,26801.0,8906.945829179129
90241,72274.0,88910.0,77471.0,93342.0,91984.0,,42407.0,58330.0,Pediatrics,2.0,12630265.0,147567.0,4.877,0.057,33.9405817,-118.1294723,42759.0,8767.480008201765
90242,73037.0,88155.0,78621.0,93766.0,87260.0,,37906.0,53736.0,Pediatrics,20.0,11696600.0,50193.0,4.516,0.019,33.9217932,-118.1405877,41703.0,9234.499557130204
90245,115846.0,143417.0,125022.0,158403.0,155000.0,,81691.0,111050.0,Pediatrics,0.0,13850727.0,4084.0,5.348,0.002,33.9171449,-118.401554,16575.0,3099.289454001496
90247,61234.0,75699.0,72466.0,83392.0,80814.0,92778.0,36279.0,51785.0,Pediatrics,6.0,9729237.0,10554.0,3.756,0.004,33.891769,-118.297006,47507.0,12648.296059637913
90248,63620.0,89363.0,73514.0,97191.0,94059.0,,40000.0,58989.0,Pediatrics,5.0,12309183.0,170404.0,4.753,0.066,33.8783395,-118.2841003,11425.0,2403.7450031559015
90249,65397.0,82585.0,78735.0,93438.0,89623.0,,38930.0,53215.0,Pediatrics,3.0,7696621.0,88656.0,2.972,0.034,33.90139,-118.3156967,26192.0,8812.920592193808
90250,60162.0,79570.0,66055.0,85886.0,85380.0,102369.0,42858.0,58911.0,Pediatrics,7.0,17529205.0,15608.0,6.768,0.006,33.9136508,-118.350946,95115.0,14053.63475177305
90251,,,,,,,,,Pediatrics,1.0,,,,,,,,
90254,142500.0,209447.0,199276.0,264207.0,207091.0,,103802.0,151476.0,Pediatrics,5.0,3702205.0,1551783.0,1.429,0.599,33.8642586,-118.3993032,19147.0,13398.88033589923
90255,49366.0,62285.0,50179.0,62621.0,62493.0,73437.0,20502.0,36075.0,Pediatrics,4.0,9650344.0,8354.0,3.726,0.003,33.9792475,-118.217438,74390.0,19965.11003757381
90260,70389.0,84420.0,73552.0,88121.0,87744.0,,45380.0,61714.0,Pediatrics,1.0,6398470.0,39070.0,2.47,0.015,33.8885344,-118.3495638,34540.0,13983.805668016194
90261,,,,,,,,,Pediatrics,0.0,,,,,,,,
90262,57236.0,71059.0,57232.0,71048.0,63427.0,,27214.0,41923.0,Pediatrics,10.0,12359842.0,0.0,4.772,0.0,33.9238313,-118.2013519,69369.0,14536.67225481978
90263,,,,,,,,,nan,,605685.0,0.0,0.234,0.0,34.0392805,-118.7081459,1813.0,7747.863247863247
90264,,,,,,,,,Pediatrics,0.0,,,,,,,,
90265,163909.0,265442.0,198857.0,301329.0,216797.0,,94583.0,180373.0,Pediatrics,10.0,287514072.0,18899707.0,111.01,7.297,34.0702448,-118.8510422,18028.0,162.39978380326096
90266,153926.0,243789.0,195510.0,289444.0,206484.0,,92562.0,137712.0,Pediatrics,27.0,10485104.0,2857999.0,4.048,1.103,33.8917865,-118.4028145,35064.0,8662.05533596838
90267,,,,,,,,,Pediatrics,3.0,,,,,,,,
90270,50996.0,60374.0,52397.0,61801.0,59075.0,,27474.0,37941.0,Pediatrics,1.0,3080014.0,0.0,1.189,0.0,33.9885572,-118.187688,27127.0,22814.970563498737
90272,199598.0,345660.0,,443347.0,,,91483.0,133209.0,Pediatrics,16.0,61670603.0,1423894.0,23.811,0.55,34.0925672,-118.5343628,21848.0,917.5591113350972
90274,181776.0,257930.0,204808.0,288331.0,219821.0,,82269.0,120802.0,Pediatrics,23.0,31010576.0,2606409.0,11.973,1.006,33.7801,-118.3724118,24541.0,2049.695147415017
90275,145816.0,194050.0,164296.0,214370.0,177104.0,,66763.0,116146.0,Pediatrics,9.0,35048238.0,8379635.0,13.532,3.235,33.7531341,-118.3679729,41731.0,3083.875258646172
90277,104859.0,152626.0,146466.0,191027.0,164969.0,,80101.0,107186.0,Pediatrics,5.0,9245270.0,3537592.0,3.57,1.366,33.8300058,-118.3871239,34494.0,9662.18487394958
90278,126979.0,158019.0,150503.0,180405.0,169460.0,,82914.0,107656.0,Pediatrics,7.0,9507745.0,0.0,3.671,0.0,33.8736054,-118.3702644,40090.0,10920.730046308909
90280,55084.0,68853.0,55681.0,69298.0,64447.0,78702.0,32362.0,43984.0,Pediatrics,5.0,19113822.0,426895.0,7.38,0.165,33.9441585,-118.1927614,94905.0,12859.756097560976
90290,129000.0,175506.0,149036.0,196293.0,174135.0,,95750.0,121043.0,Pediatrics,0.0,48498335.0,24096.0,18.725,0.009,34.1077521,-118.6162183,5200.0,277.7036048064085
90291,99496.0,166091.0,159500.0,229406.0,186114.0,,81638.0,127833.0,Pediatrics,3.0,6383459.0,869948.0,2.465,0.336,33.9933964,-118.4651932,27556.0,11178.9046653144
90292,121021.0,162869.0,155417.0,197684.0,178247.0,,108476.0,139700.0,Pediatrics,3.0,5428684.0,2857097.0,2.096,1.103,33.9760775,-118.4520658,23931.0,11417.461832061068
90293,104814.0,149151.0,131042.0,192441.0,151638.0,,91086.0,119805.0,Pediatrics,1.0,7096785.0,3999384.0,2.74,1.544,33.9473054,-118.4398414,12915.0,4713.503649635036
90294,,,,,,,,,Pediatrics,0.0,,,,,,,,
90295,,,,,,,,,Pediatrics,1.0,,,,,,,,
90296,,,,,,,,,Pediatrics,1.0,,,,,,,,
90301,51498.0,66084.0,59766.0,74080.0,77948.0,82499.0,29104.0,46288.0,Pediatrics,2.0,6426469.0,0.0,2.481,0.0,33.9564643,-118.3586812,39320.0,15848.4482063684
90302,54432.0,70572.0,60476.0,74237.0,79048.0,,40929.0,56295.0,Pediatrics,0.0,4955207.0,2993.0,1.913,0.001,33.97535,-118.3560895,29367.0,15351.280710925248
90303,62826.0,79535.0,64382.0,84092.0,70377.0,,35023.0,53614.0,Pediatrics,0.0,5026333.0,14318.0,1.941,0.006,33.9362911,-118.3326393,23961.0,12344.667697063369
90304,47612.0,61734.0,50506.0,63617.0,59502.0,,27003.0,44930.0,Pediatrics,0.0,4246478.0,0.0,1.64,0.0,33.9373602,-118.3587951,26584.0,16209.756097560976
90305,88910.0,105892.0,99679.0,115142.0,125663.0,,59023.0,82716.0,Pediatrics,1.0,6769580.0,59579.0,2.614,0.023,33.9581341,-118.3309045,15373.0,5881.025248661056
90307,,,,,,,,,Pediatrics,0.0,,,,,,,,
90308,,,,,,,,,Pediatrics,0.0,,,,,,,,
90401,95217.0,133030.0,105579.0,150640.0,119879.0,,85114.0,127932.0,Pediatrics,6.0,1954199.0,0.0,0.755,0.0,34.0160989,-118.4924539,7079.0,9376.15894039735
90402,145742.0,314743.0,213641.0,414490.0,240764.0,,73500.0,123889.0,Pediatrics,6.0,5289316.0,326896.0,2.042,0.126,34.034666,-118.5040391,11637.0,5698.824681684623
90403,111611.0,155708.0,146384.0,206353.0,170420.0,,82757.0,116587.0,Pediatrics,7.0,3656079.0,247223.0,1.412,0.095,34.0307553,-118.4921007,24359.0,17251.4164305949
90404,75610.0,111833.0,85625.0,135562.0,129196.0,,62679.0,91955.0,Pediatrics,15.0,5104890.0,0.0,1.971,0.0,34.0266494,-118.473835,23107.0,11723.490613901571
90405,96352.0,136441.0,131069.0,183976.0,165962.0,,81468.0,103005.0,Pediatrics,1.0,7202324.0,893596.0,2.781,0.345,34.011057,-118.4721524,27509.0,9891.765551959728
90406,,,,,,,,,Pediatrics,0.0,,,,,,,,
90408,,,,,,,,,Pediatrics,0.0,,,,,,,,
90409,,,,,,,,,Pediatrics,0.0,,,,,,,,
90501,75388.0,102061.0,83213.0,104814.0,103146.0,,57038.0,89966.0,Pediatrics,3.0,14724154.0,8095.0,5.685,0.003,33.8337437,-118.3140219,42298.0,7440.281442392261
90502,85515.0,103098.0,95972.0,113278.0,106528.0,,53750.0,74923.0,Pediatrics,18.0,5799107.0,33313.0,2.239,0.013,33.8331813,-118.2920619,18527.0,8274.676194729791
90503,97688.0,120575.0,119640.0,134666.0,134805.0,,58652.0,86196.0,Pediatrics,28.0,13640983.0,4355.0,5.267,0.002,33.8394633,-118.3536989,44354.0,8421.112587810898
90504,92636.0,113578.0,112662.0,133448.0,121835.0,,52072.0,59865.0,Pediatrics,5.0,11422484.0,44704.0,4.41,0.017,33.8672804,-118.3316422,32703.0,7415.646258503401
90505,95113.0,121535.0,111781.0,136801.0,126010.0,,61615.0,85427.0,Pediatrics,22.0,15155933.0,29696.0,5.852,0.011,33.8078823,-118.3479566,36820.0,6291.866028708134
90506,,,,,,,,,nan,,403869.0,15634.0,0.156,0.006,33.8846956,-118.329998,0.0,0.0
90507,,,,,,,,,Pediatrics,0.0,,,,,,,,
90508,,,,,,,,,Pediatrics,1.0,,,,,,,,
90509,,,,,,,,,Pediatrics,18.0,,,,,,,,
90510,,,,,,,,,Pediatrics,1.0,,,,,,,,
90601,76177.0,91451.0,91264.0,104716.0,105564.0,,38933.0,53998.0,Pediatrics,1.0,27458654.0,367099.0,10.602,0.142,34.0079366,-118.0303243,30623.0,2888.417279758536
90602,54752.0,74081.0,65020.0,80953.0,78981.0,,36329.0,51286.0,Pediatrics,11.0,9717095.0,5673.0,3.752,0.002,33.9742425,-118.0223302,25426.0,6776.652452025587
90603,104028.0,116594.0,117754.0,131939.0,125508.0,,42333.0,59231.0,Pediatrics,2.0,8193153.0,0.0,3.163,0.0,33.9448663,-117.9923377,20780.0,6569.712298450838
90604,77898.0,92743.0,86271.0,102862.0,98645.0,,40303.0,51305.0,Pediatrics,2.0,10900939.0,9677.0,4.209,0.004,33.9276906,-118.0138277,40545.0,9632.929436920886
90605,77482.0,96911.0,82292.0,101967.0,94954.0,112404.0,47112.0,62275.0,Pediatrics,2.0,16540582.0,24843.0,6.386,0.01,33.9524438,-118.0213998,41162.0,6445.662386470404
90606,74717.0,87908.0,82809.0,94616.0,94085.0,,39926.0,49503.0,Pediatrics,0.0,9825251.0,414858.0,3.794,0.16,33.977272,-118.0663633,32631.0,8600.685292567212
90607,,,,,,,,,Pediatrics,0.0,,,,,,,,
90608,,,,,,,,,Pediatrics,1.0,,,,,,,,
90609,,,,,,,,,Pediatrics,0.0,,,,,,,,
90620,99351.0,114335.0,106291.0,120073.0,117298.0,,54429.0,70660.0,Pediatrics,2.0,16492874.0,23818.0,6.368,0.009,33.8452232,-118.0152918,46228.0,7259.422110552763
90621,72000.0,88256.0,68190.0,88612.0,80822.0,,50521.0,60670.0,Pediatrics,0.0,10857013.0,41610.0,4.192,0.016,33.8742236,-117.9933677,35448.0,8456.106870229007
90622,,,,,,,,,Pediatrics,1.0,,,,,,,,
90623,107956.0,124517.0,124844.0,134952.0,132536.0,,41372.0,80166.0,Pediatrics,8.0,4698566.0,60099.0,1.814,0.023,33.8506159,-118.0395647,15624.0,8613.009922822492
90630,102263.0,122875.0,111577.0,135342.0,124485.0,,53571.0,63309.0,Pediatrics,4.0,15929581.0,54123.0,6.15,0.021,33.8184768,-118.0383074,49378.0,8028.943089430893
